StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Texas,TX,School,No,Carpenter Hill Elementary,Regular school,480001011534,105906115,Hays CISD,Regular local school district,4800010,105906,576,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,351,0,225,,
Texas,TX,School,No,Carpenter Hill Elementary,Regular school,480001011534,105906115,Hays CISD,Regular local school district,4800010,105906,575,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,421,0,154,,
Texas,TX,School,No,Ralph Pfluger Elementary,Regular school,480001012146,105906116,Hays CISD,Regular local school district,4800010,105906,739,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,242,0,497,,
Texas,TX,School,No,Ralph Pfluger Elementary,Regular school,480001012146,105906116,Hays CISD,Regular local school district,4800010,105906,748,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,391,0,357,,
Texas,TX,School,No,Dr T C McCormick Jr Middle,Regular school,480001013113,105906047,Hays CISD,Regular local school district,4800010,105906,989,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,406,0,583,,
Texas,TX,School,No,Dr T C McCormick Jr Middle,Regular school,480001013113,105906047,Hays CISD,Regular local school district,4800010,105906,1000,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,593,0,407,,
Texas,TX,School,No,Moe And Gene Johnson High School,Regular school,480001013567,105906006,Hays CISD,Regular local school district,4800010,105906,1820,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,1001,0,819,,
Texas,TX,School,No,Moe And Gene Johnson High School,Regular school,480001013567,105906006,Hays CISD,Regular local school district,4800010,105906,1817,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,1131,0,686,,
Texas,TX,School,No,Uhland Elementary,Regular school,480001013599,105906118,Hays CISD,Regular local school district,4800010,105906,724,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,327,0,397,,
Texas,TX,School,No,Uhland Elementary,Regular school,480001013599,105906118,Hays CISD,Regular local school district,4800010,105906,732,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,474,0,258,,
Texas,TX,School,No,Alvarado High School,Regular school,480001100128,126901001,Alvarado ISD,Regular local school district,4800011,126901,1122,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,621,0,501,,
Texas,TX,School,No,Alvarado High School,Regular school,480001100128,126901001,Alvarado ISD,Regular local school district,4800011,126901,1105,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,777,0,328,,
Texas,TX,School,No,Alvarado Junior High,Regular school,480001100129,126901041,Alvarado ISD,Regular local school district,4800011,126901,590,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,415,0,175,,
Texas,TX,School,No,Alvarado Junior High,Regular school,480001100129,126901041,Alvarado ISD,Regular local school district,4800011,126901,593,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,372,0,221,,
Texas,TX,School,No,Alvarado Elementary-South,Regular school,480001100130,126901101,Alvarado ISD,Regular local school district,4800011,126901,388,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,298,0,90,,
Texas,TX,School,No,Alvarado Elementary-South,Regular school,480001100130,126901101,Alvarado ISD,Regular local school district,4800011,126901,387,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,311,0,76,,
Texas,TX,School,No,Lillian Elementary,Regular school,480001103090,126901103,Alvarado ISD,Regular local school district,4800011,126901,242,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,242,0,0,,
Texas,TX,School,No,Lillian Elementary,Regular school,480001103090,126901103,Alvarado ISD,Regular local school district,4800011,126901,343,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,301,0,42,,
Texas,TX,School,No,Alvarado Elementary-North,Regular school,480001106201,126901102,Alvarado ISD,Regular local school district,4800011,126901,363,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,305,0,58,,
Texas,TX,School,No,Alvarado Elementary-North,Regular school,480001106201,126901102,Alvarado ISD,Regular local school district,4800011,126901,357,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,281,0,76,,
Texas,TX,School,No,Alvarado Int,Regular school,480001107367,126901104,Alvarado ISD,Regular local school district,4800011,126901,757,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,584,0,173,,
Texas,TX,School,No,Alvarado Int,Regular school,480001107367,126901104,Alvarado ISD,Regular local school district,4800011,126901,751,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,657,0,94,,
Texas,TX,School,No,Chisum Elementary,Regular school,480001201430,139905101,Chisum ISD,Regular local school district,4800012,139905,520,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,510,0,10,,
Texas,TX,School,No,Chisum Elementary,Regular school,480001201430,139905101,Chisum ISD,Regular local school district,4800012,139905,528,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,527,0,1,,
Texas,TX,School,No,Chisum High School,Regular school,480001201431,139905001,Chisum ISD,Regular local school district,4800012,139905,319,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,293,0,26,,
Texas,TX,School,No,Chisum High School,Regular school,480001201431,139905001,Chisum ISD,Regular local school district,4800012,139905,312,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,290,0,22,,
Texas,TX,School,No,Chisum Middle,Regular school,480001204908,139905041,Chisum ISD,Regular local school district,4800012,139905,223,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,209,0,14,,
Texas,TX,School,No,Chisum Middle,Regular school,480001204908,139905041,Chisum ISD,Regular local school district,4800012,139905,226,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,221,0,5,,
Texas,TX,School,Yes,George Gervin Academy,Other/alternative school,480001407174,015802001,George Gervin Academy,Charter agency,4800014,15802,750,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,207,0,543,,
Texas,TX,School,Yes,George Gervin Academy,Other/alternative school,480001407174,015802001,George Gervin Academy,Charter agency,4800014,15802,709,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,473,0,236,,
Texas,TX,School,Yes,Ruth Jones McClendon Middle,Other/alternative school,480001410415,015802004,George Gervin Academy,Charter agency,4800014,15802,117,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,17,0,100,,
Texas,TX,School,Yes,Ruth Jones McClendon Middle,Other/alternative school,480001410415,015802004,George Gervin Academy,Charter agency,4800014,15802,102,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,49,0,53,,
Texas,TX,School,Yes,Texans Can Academy - Dallas North,Other/alternative school,480001607239,057804001,Texans Can Academies,Charter agency,4800016,57804,234,Bi-annually,9/1/20,12/31/20,Virtual,,,,,,,,12,0,222,,
Texas,TX,School,Yes,Texans Can Academy - Dallas North,Other/alternative school,480001607239,057804001,Texans Can Academies,Charter agency,4800016,57804,223,Bi-annually,1/1/21,6/1/21,Virtual,,,,,,,,0,0,223,,
