,schoolcode,year,charter,dropout,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
125,57905034,2018,0.0,0,0.0,0.0,0.0,1012,32.9051,41.8972,21.9368,29.8419,3.4585
126,57905035,2018,0.0,0,0.0,0.0,0.0,244,85.6557,5.7377,13.5246,77.459,2.459
127,57905036,2018,0.0,0,0.0,0.0,0.0,553,82.6401,2.3508,19.1682,73.0561,3.255
128,57905037,2018,0.0,0,0.0,0.0,0.0,335,77.3134,2.3881,27.1642,68.9552,1.194
129,57905039,2018,0.0,0,0.0,0.0,0.0,278,40.6475,37.4101,8.6331,37.0504,13.6691
130,57905085,2018,0.0,0,0.0,0.0,0.0,350,81.7143,1.1429,49.4286,49.1429,0.0
131,57905088,2018,0.0,0,0.0,0.0,0.0,434,84.1014,0.9217,8.2949,89.1705,0.9217
132,57905090,2018,0.0,0,0.0,0.0,0.0,230,84.7826,3.0435,12.1739,83.4783,1.3043
133,57907007,2018,0.0,0,0.0,0.0,0.0,7,71.4286,0.0,71.4286,28.5714,0.0
134,57909053,2018,0.0,0,0.0,0.0,0.0,335,71.0448,16.1194,28.3582,52.8358,0.2985
135,57910001,2018,0.0,0,0.0,0.0,0.0,393,38.9313,35.369,15.5216,42.4936,2.799
136,57910007,2018,0.0,0,0.0,0.0,0.0,10,80.0,0.0,30.0,60.0,0.0
137,57910011,2018,0.0,0,0.0,0.0,0.0,87,67.8161,10.3448,22.9885,62.069,3.4483
138,57910053,2018,0.0,0,0.0,0.0,0.0,146,71.9178,10.274,13.0137,67.8082,6.8493
139,57914007,2018,0.0,0,0.0,0.0,0.0,11,72.7273,9.0909,36.3636,45.4545,0.0
140,57916006,2018,0.0,0,0.0,0.0,0.0,186,71.5054,17.2043,26.3441,52.1505,1.6129
141,58902001,2018,0.0,0,0.0,0.0,0.0,24,45.8333,41.6667,0.0,45.8333,0.0
142,58905001,2018,0.0,0,0.0,0.0,0.0,61,32.7869,67.2131,0.0,29.5082,1.6393
143,58906001,2018,0.0,0,0.0,0.0,0.0,542,70.2952,16.6052,4.428,77.8598,0.1845
144,58909001,2018,0.0,0,0.0,0.0,0.0,58,37.931,55.1724,1.7241,39.6552,1.7241
145,61901005,2018,0.0,0,0.0,0.0,0.0,188,68.0851,30.8511,25.5319,40.4255,1.0638
146,61910001,2018,0.0,0,0.0,0.0,0.0,876,8.5616,84.3607,1.0274,10.5023,1.5982
147,62901001,2018,0.0,0,0.0,0.0,0.0,726,64.0496,46.4187,12.259,38.4298,0.551
148,62902001,2018,0.0,0,0.0,0.0,0.0,41,60.9756,51.2195,4.878,43.9024,0.0
149,63903001,2018,0.0,0,0.0,0.0,0.0,83,57.8313,48.1928,4.8193,46.988,0.0
150,63906001,2018,0.0,0,0.0,0.0,0.0,29,79.3103,58.6207,0.0,41.3793,0.0
151,65901001,2018,0.0,0,0.0,0.0,0.0,137,45.9854,72.9927,10.9489,12.4088,0.0
152,65902001,2018,0.0,0,0.0,0.0,0.0,41,73.1707,63.4146,0.0,31.7073,2.439
153,67902004,2018,0.0,0,0.0,0.0,0.0,13,53.8462,76.9231,7.6923,15.3846,0.0
154,67904001,2018,0.0,0,0.0,0.0,0.0,89,60.6742,58.427,2.2472,39.3258,0.0
155,67908001,2018,0.0,0,0.0,0.0,0.0,61,55.7377,90.1639,0.0,8.1967,0.0
156,68803001,2018,0.0,0,0.0,0.0,0.0,63,7.9365,60.3175,4.7619,34.9206,0.0
157,68901004,2018,0.0,0,0.0,0.0,0.0,340,55.8824,20.0,8.8235,69.1176,0.5882
158,68901005,2018,0.0,0,0.0,0.0,0.0,9,44.4444,22.2222,11.1111,66.6667,0.0
159,69901001,2018,0.0,0,0.0,0.0,0.0,86,74.4186,18.6047,0.0,81.3953,0.0
