,schoolcode,year,charter,mathpass,schoolmode,virtualper,hybridper,totaltested,lowincome,white,black,hispanic,asian
74,3905001,2017,0.0,0.36318407960199006,0.0,0.0,0,201,0.681592039800995,0.26865671641791045,0.15422885572139303,0.5522388059701493,0.0
75,3905001,2018,0.0,0.3548387096774194,0.0,0.0,0,155,0.7354838709677419,0.27741935483870966,0.14838709677419354,0.5225806451612903,0.0
76,3905001,2019,0.0,0.4666666666666667,0.0,0.0,0,165,0.7878787878787878,0.24242424242424243,0.1696969696969697,0.5575757575757576,0.0
77,3905001,2021,0.0,0.47468354430379744,0.0,0.0,0,158,0.5506329113924051,0.2911392405063291,0.14556962025316456,0.5443037974683544,0.006329113924050633
78,3906001,2015,0.0,0.5862068965517241,0.0,0.0,0,29,0.5517241379310345,0.8620689655172413,0.034482758620689655,0.06896551724137931,0.0
79,3906001,2016,0.0,0.3076923076923077,0.0,0.0,0,26,0.6153846153846154,0.8846153846153846,0.0,0.07692307692307693,0.0
80,3906001,2017,0.0,0.3333333333333333,0.0,0.0,0,33,0.5454545454545454,0.9090909090909091,0.0,0.030303030303030304,0.0
81,3906001,2018,0.0,0.35,0.0,0.0,0,40,0.65,0.95,0.025,0.025,0.0
82,3906001,2019,0.0,0.2916666666666667,0.0,0.0,0,24,0.6666666666666666,0.9166666666666666,0.0,0.041666666666666664,0.0
83,3906001,2021,0.0,0.6111111111111112,0.0,0.0,0,18,0.5555555555555556,0.9444444444444444,0.0,0.05555555555555555,0.0
84,3907001,2015,0.0,0.4296875,0.0,0.0,0,128,0.3984375,0.75,0.0703125,0.171875,0.0
85,3907001,2016,0.0,0.35454545454545455,0.0,0.0,0,110,0.43636363636363634,0.7454545454545455,0.02727272727272727,0.2,0.0
86,3907001,2017,0.0,0.3617021276595745,0.0,0.0,0,141,0.5106382978723404,0.8085106382978723,0.04964539007092199,0.1276595744680851,0.0
87,3907001,2018,0.0,0.3787878787878788,0.0,0.0,0,132,0.5378787878787878,0.7272727272727273,0.03787878787878788,0.2196969696969697,0.0
88,3907001,2019,0.0,0.5283018867924528,0.0,0.0,0,106,0.5660377358490566,0.7358490566037735,0.04716981132075472,0.19811320754716982,0.0
89,3907001,2021,0.0,0.48695652173913045,0.0,0.0,0,115,0.5826086956521739,0.6434782608695652,0.043478260869565216,0.2782608695652174,0.0
90,4901001,2015,0.0,0.5,0.0,0.0,0,270,0.4888888888888889,0.5962962962962963,0.007407407407407408,0.37037037037037035,0.018518518518518517
91,4901001,2016,0.0,0.27526132404181186,0.0,0.0,0,287,0.4843205574912892,0.5400696864111498,0.024390243902439025,0.37630662020905925,0.027874564459930314
92,4901001,2017,0.0,0.38181818181818183,0.0,0.0,0,330,0.5636363636363636,0.5212121212121212,0.01818181818181818,0.42424242424242425,0.00909090909090909
93,4901001,2018,0.0,0.32489451476793246,0.0,0.0,0,237,0.9578059071729957,0.47257383966244726,0.029535864978902954,0.45147679324894513,0.03375527426160337
94,4901001,2019,0.0,0.45454545454545453,0.0,0.0,0,297,0.6161616161616161,0.4983164983164983,0.013468013468013467,0.4511784511784512,0.016835016835016835
95,4901001,2021,0.0,0.4349593495934959,0.0,0.0,0,246,0.6544715447154471,0.5284552845528455,0.008130081300813009,0.4146341463414634,0.02032520325203252
96,5901001,2015,0.0,0.625,0.0,0.0,0,40,0.225,0.9,0.0,0.05,0.0
97,5901001,2016,0.0,0.6551724137931034,0.0,0.0,0,29,0.2413793103448276,0.8620689655172413,0.0,0.10344827586206896,0.0
98,5901001,2017,0.0,0.6857142857142857,0.0,0.0,0,35,0.2571428571428571,0.8285714285714286,0.0,0.08571428571428572,0.0
99,5901001,2018,0.0,0.5263157894736842,0.0,0.0,0,38,0.34210526315789475,0.8421052631578947,0.0,0.13157894736842105,0.0
100,5901001,2019,0.0,0.660377358490566,0.0,0.0,0,53,0.39622641509433965,0.8301886792452831,0.018867924528301886,0.1509433962264151,0.0
101,5901001,2021,0.0,0.75,0.0,0.0,0,40,0.45,0.725,0.05,0.15,0.0
102,5902001,2015,0.0,0.6818181818181818,0.0,0.0,0,66,0.16666666666666666,0.9696969696969697,0.0,0.030303030303030304,0.0
103,5902001,2016,0.0,0.7466666666666667,0.0,0.0,0,75,0.09333333333333334,0.8666666666666667,0.02666666666666667,0.09333333333333334,0.0
104,5902001,2017,0.0,0.6835443037974683,0.0,0.0,0,79,0.189873417721519,0.9367088607594937,0.0,0.05063291139240506,0.0
105,5902001,2018,0.0,0.7051282051282052,0.0,0.0,0,78,0.20512820512820512,0.8717948717948718,0.0,0.10256410256410256,0.0
106,5902001,2019,0.0,0.8395061728395061,0.0,0.0,0,81,0.09876543209876543,0.8888888888888888,0.012345679012345678,0.06172839506172839,0.0
107,5902001,2021,0.0,0.7857142857142857,0.0,0.0,0,84,0.20238095238095238,0.8333333333333334,0.0,0.10714285714285714,0.0
108,5904001,2015,0.0,0.5681818181818182,0.0,0.0,0,44,0.22727272727272727,0.6818181818181818,0.0,0.2727272727272727,0.0
109,5904001,2016,0.0,0.7222222222222222,0.0,0.0,0,36,0.3055555555555556,0.6388888888888888,0.0,0.3611111111111111,0.0
110,5904001,2017,0.0,0.6111111111111112,0.0,0.0,0,36,0.3055555555555556,0.75,0.0,0.2222222222222222,0.0
111,5904001,2018,0.0,0.6176470588235294,0.0,0.0,0,34,0.2647058823529412,0.7058823529411765,0.0,0.2647058823529412,0.0
112,5904001,2019,0.0,0.6470588235294118,0.0,0.0,0,34,0.5,0.6764705882352942,0.0,0.2647058823529412,0.0
113,5904001,2021,0.0,0.5757575757575758,0.0,0.0,0,33,0.3333333333333333,0.7272727272727273,0.0,0.24242424242424243,0.0
114,6902001,2015,0.0,0.6666666666666666,0.0,0.0,0,24,0.375,0.875,0.041666666666666664,0.08333333333333333,0.0
115,6902001,2016,0.0,0.7083333333333334,0.0,0.0,0,24,0.16666666666666666,0.7916666666666666,0.0,0.16666666666666666,0.0
116,6902001,2017,0.0,0.5416666666666666,0.0,0.0,0,24,0.3333333333333333,0.8333333333333334,0.041666666666666664,0.125,0.0
117,6902001,2018,0.0,0.4,0.0,0.0,0,30,0.5666666666666667,0.7,0.1,0.16666666666666666,0.0
118,6902001,2019,0.0,0.47619047619047616,0.0,0.0,0,21,0.42857142857142855,0.8571428571428571,0.0,0.047619047619047616,0.0
119,6902001,2021,0.0,0.375,0.0,0.0,0,24,0.20833333333333334,0.75,0.0,0.25,0.0
120,7901001,2015,0.0,0.19047619047619047,0.0,0.0,0,42,0.6904761904761905,0.047619047619047616,0.0,0.9523809523809523,0.0
121,7901001,2016,0.0,0.25,0.0,0.0,0,48,0.7708333333333334,0.020833333333333332,0.0,0.9791666666666666,0.0
122,7901001,2017,0.0,0.22033898305084745,0.0,0.0,0,59,0.7627118644067796,0.0847457627118644,0.0,0.9152542372881356,0.0
123,7901001,2018,0.0,0.2894736842105263,0.0,0.0,0,38,0.7631578947368421,0.05263157894736842,0.0,0.9473684210526315,0.0
124,7901001,2019,0.0,0.3125,0.0,0.0,0,32,0.8125,0.03125,0.0,0.9375,0.03125
125,7901001,2021,0.0,0.358974358974359,0.0,0.0,0,39,0.7692307692307693,0.05128205128205128,0.0,0.9487179487179487,0.0
126,7902001,2015,0.0,0.3203125,0.0,0.0,0,128,0.546875,0.3515625,0.015625,0.609375,0.0078125
127,7902001,2016,0.0,0.45161290322580644,0.0,0.0,0,124,0.5,0.3951612903225806,0.0,0.5967741935483871,0.0
128,7902001,2017,0.0,0.3841059602649007,0.0,0.0,0,151,0.5827814569536424,0.3708609271523179,0.013245033112582781,0.5960264900662252,0.0
129,7902001,2018,0.0,0.4485294117647059,0.0,0.0,0,136,0.5367647058823529,0.34558823529411764,0.014705882352941176,0.6397058823529411,0.0
130,7902001,2019,0.0,0.5645161290322581,0.0,0.0,0,124,0.5161290322580645,0.4112903225806452,0.008064516129032258,0.5725806451612904,0.0
131,7902001,2021,0.0,0.5535714285714286,0.0,0.0,0,112,0.5267857142857143,0.33035714285714285,0.008928571428571428,0.6428571428571429,0.008928571428571428
132,7904001,2015,0.0,0.31756756756756754,0.0,0.0,0,148,0.7162162162162162,0.18243243243243243,0.013513513513513514,0.7837837837837838,0.0
133,7904001,2016,0.0,0.18791946308724833,0.0,0.0,0,149,0.8053691275167785,0.14093959731543623,0.026845637583892617,0.8187919463087249,0.0
134,7904001,2017,0.0,0.32666666666666666,0.0,0.0,0,150,0.7666666666666667,0.15333333333333332,0.006666666666666667,0.84,0.0
135,7904001,2018,0.0,0.2781456953642384,0.0,0.0,0,151,0.7152317880794702,0.16556291390728478,0.013245033112582781,0.8145695364238411,0.0
136,7904001,2019,0.0,0.2784090909090909,0.0,0.0,0,176,0.7556818181818182,0.18181818181818182,0.011363636363636364,0.8068181818181818,0.0
137,7904001,2021,0.0,0.36764705882352944,0.0,0.0,0,136,0.6911764705882353,0.0661764705882353,0.0,0.9044117647058824,0.0
138,7905001,2015,0.0,0.4020979020979021,0.0,0.0,0,286,0.46853146853146854,0.2517482517482518,0.0034965034965034965,0.7307692307692307,0.0
139,7905001,2016,0.0,0.42379182156133827,0.0,0.0,0,269,0.516728624535316,0.26765799256505574,0.0,0.724907063197026,0.0037174721189591076
140,7905001,2017,0.0,0.34310850439882695,0.0,0.0,0,341,0.5571847507331378,0.2287390029325513,0.0,0.750733137829912,0.005865102639296188
141,7905001,2018,0.0,0.3587570621468927,0.0,0.0,0,354,0.6384180790960452,0.268361581920904,0.0,0.711864406779661,0.005649717514124294
142,7905001,2019,0.0,0.4289772727272727,0.0,0.0,0,352,0.5681818181818182,0.2840909090909091,0.005681818181818182,0.6903409090909091,0.0
143,7905001,2021,0.0,0.510548523206751,0.0,0.0,0,237,0.5991561181434599,0.25738396624472576,0.0,0.7215189873417721,0.016877637130801686
144,7906001,2015,0.0,0.3732394366197183,0.0,0.0,0,142,0.6549295774647887,0.14084507042253522,0.014084507042253521,0.8380281690140845,0.0
145,7906001,2016,0.0,0.2894736842105263,0.0,0.0,0,152,0.7105263157894737,0.09868421052631579,0.006578947368421052,0.8881578947368421,0.0
146,7906001,2017,0.0,0.2891566265060241,0.0,0.0,0,166,0.7771084337349398,0.13855421686746988,0.006024096385542169,0.8554216867469879,0.0
147,7906001,2018,0.0,0.3988439306358382,0.0,0.0,0,173,0.7514450867052023,0.15028901734104047,0.005780346820809248,0.8439306358381503,0.0
148,7906001,2019,0.0,0.3424657534246575,0.0,0.0,0,146,0.7534246575342466,0.136986301369863,0.00684931506849315,0.8356164383561644,0.0136986301369863
149,7906001,2021,0.0,0.3275862068965517,0.0,0.0,0,116,0.47413793103448276,0.10344827586206896,0.008620689655172414,0.8706896551724138,0.0
150,8901001,2015,0.0,0.5167785234899329,0.0,0.0,0,149,0.4161073825503356,0.5369127516778524,0.10738255033557047,0.3087248322147651,0.0
151,8901001,2016,0.0,0.544973544973545,0.0,0.0,0,189,0.37566137566137564,0.6031746031746031,0.09523809523809523,0.2857142857142857,0.010582010582010581
152,8901001,2017,0.0,0.44549763033175355,0.0,0.0,0,211,0.4597156398104265,0.5876777251184834,0.10426540284360189,0.2985781990521327,0.004739336492890996
153,8901001,2018,0.0,0.5575221238938053,0.0,0.0,0,226,0.46017699115044247,0.588495575221239,0.084070796460177,0.2920353982300885,0.008849557522123894
154,8901001,2019,0.0,0.5612244897959183,0.0,0.0,0,196,0.4846938775510204,0.5714285714285714,0.11224489795918367,0.29081632653061223,0.0
155,8901001,2021,0.0,0.6134020618556701,0.0,0.0,0,194,0.39690721649484534,0.5515463917525774,0.05154639175257732,0.33505154639175255,0.005154639175257732
156,8902001,2015,0.0,0.4777777777777778,0.0,0.0,0,270,0.5185185185185185,0.43333333333333335,0.0962962962962963,0.45185185185185184,0.0
157,8902001,2016,0.0,0.5299145299145299,0.0,0.0,0,234,0.5085470085470085,0.405982905982906,0.14102564102564102,0.43162393162393164,0.008547008547008548
158,8902001,2017,0.0,0.42677824267782427,0.0,0.0,0,239,0.5523012552301255,0.3472803347280335,0.1506276150627615,0.47280334728033474,0.016736401673640166
159,8902001,2018,0.0,0.4419475655430712,0.0,0.0,0,267,0.6329588014981273,0.3333333333333333,0.12359550561797752,0.5131086142322098,0.0
