,schoolcode,charter,white,black,hispanic,lowincome,year,hybridper,virtualper,remote,totalenrolled,dropout
83,130582000170001,0,0.7309417040358744,0.116591928251121,0.0627802690582959,0.5919282511210763,2019,0.0,0.0,0.0,882,7.7
84,130584010260001,0,0.9661016949152542,0.0,0.0,0.423728813559322,2021,0.1818181818181818,0.0,0.1818181818181817,208,5.5
85,130584010260001,0,0.9565217391304348,0.0,0.0,0.5217391304347826,2019,0.0,0.0,0.0,208,7.4
86,130585010260001,0,0.9,0.0,0.0,0.9,2021,0.9090909090909092,0.0,0.5454545454545454,100,2.9
87,130585010260001,0,0.9473684210526316,0.0,0.0,0.5789473684210527,2019,0.0,0.0,0.0,105,7.0
88,130586000160001,0,0.900709219858156,0.0,0.0,0.3900709219858156,2021,0.6363636363636364,0.0909090909090909,0.5,666,3.8
89,130586000160001,0,0.9319727891156464,0.0,0.0,0.5170068027210885,2019,0.0,0.0,0.0,646,8.4
90,130587220260001,0,1.0,0.0,0.0,0.7142857142857143,2021,0.7272727272727273,0.0,0.4545454545454546,60,3.4
91,130587220260001,0,0.9166666666666666,0.0,0.0,0.8333333333333334,2019,0.0,0.0,0.0,69,7.7
92,130950100260001,0,0.9285714285714286,0.0,0.0,0.0,2021,0.0,0.0,0.0909090909090909,277,2.6
93,130950100260001,0,0.9393939393939394,0.0,0.0,0.3333333333333333,2019,0.0,0.0,0.0,266,6.0
94,130950990160001,0,0.9603960396039604,0.0,0.0,0.2871287128712871,2021,0.8181818181818182,0.0,0.4999999999999999,408,2.1
95,130950990160001,0,0.9454545454545454,0.0,0.0,0.3454545454545454,2019,0.0,0.0,0.0,408,2.4
96,150162990250001,0,0.2122186495176848,0.0932475884244373,0.5691318327974276,0.6045016077170418,2021,0.5454545454545454,0.3636363636363636,0.7272727272727273,1454,1.5
97,150162990250001,0,0.1310344827586207,0.1689655172413793,0.5586206896551724,0.8103448275862069,2019,0.0,0.0,0.0,1289,3.4
98,150162990250003,0,0.0,0.6704545454545454,0.3125,0.9090909090909092,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,731,6.2
99,150162990250003,0,0.0,0.5956521739130435,0.3826086956521739,0.9,2019,0.0,0.0,0.0,828,13.9
100,150162990250006,0,0.0,0.2795698924731182,0.6989247311827957,0.6559139784946236,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,435,1.9
101,150162990250006,0,0.0,0.3720930232558139,0.6124031007751938,0.8914728682170543,2019,0.0,0.0,0.0,481,1.3
102,150162990250011,0,0.0,0.0948275862068965,0.8879310344827587,0.9655172413793104,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,532,6.8
103,150162990250011,0,0.0,0.1304347826086956,0.8695652173913043,0.9813664596273292,2019,0.0,0.0,0.0,651,12.9
104,150162990250012,0,0.0,0.9516129032258064,0.0,0.9193548387096774,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,284,6.8
105,150162990250012,0,0.0,0.9473684210526316,0.0,0.9342105263157896,2019,0.0,0.0,0.0,203,21.6
106,150162990250013,0,0.0,0.1666666666666666,0.7916666666666666,0.9166666666666666,2021,0.3636363636363636,0.5454545454545454,0.8181818181818181,598,8.2
107,150162990250013,0,0.0,0.2028985507246377,0.7584541062801933,0.932367149758454,2019,0.0,0.0,0.0,739,12.4
108,150162990250014,0,0.0,0.0,0.9195402298850576,0.8850574712643678,2021,0.2727272727272727,0.6363636363636364,0.8636363636363636,1075,0.4
109,150162990250014,0,0.0,0.0,0.9407407407407408,0.9296296296296296,2019,0.0,0.0,0.0,1067,0.8
