,cdc_code,hybridper,virtualper,inpersonper,charter,lowincome,totalenrolled,dropout,white,black,hispanic,year,remote
101,1611760134270,0.0,1.0,0.0,0,0.1788321167883211,548,4.4,0.0930656934306569,0.0,0.0711678832116788,2021,1.0
102,1611760134452,0.0,0.0,1.0,0,0.32,1436,0.0041782729805013,0.2402506963788301,0.0529247910863509,0.3398328690807799,2015,0.0
103,1611760134452,0.0,0.0,1.0,0,0.43,1385,0.0072202166064981,0.2223826714801444,0.0483754512635379,0.335740072202166,2016,0.0
104,1611760134452,0.0,0.0,1.0,0,0.5852272727272727,352,2.0,0.2130681818181818,0.0738636363636363,0.3181818181818182,2017,0.0
105,1611760134452,0.0,0.0,1.0,0,0.5172413793103449,377,2.4,0.2413793103448276,0.039787798408488,0.3289124668435013,2018,0.0
106,1611760134452,0.0,0.0,1.0,0,0.5144694533762058,311,5.5,0.202572347266881,0.0385852090032154,0.270096463022508,2019,0.0
107,1611760134452,0.0,1.0,0.0,0,0.5085714285714286,350,7.7,0.1914285714285714,0.0514285714285714,0.3685714285714285,2021,1.0
108,1611760135244,0.0,0.0,1.0,0,0.03,2129,0.0,0.0591827148896195,0.005166744950681,0.0206669798027242,2015,0.0
109,1611760135244,0.0,0.0,1.0,0,0.04,2003,0.0019970044932601,0.0494258612081877,0.0034947578632051,0.0159760359460808,2016,0.0
110,1611760135244,0.0,0.0,1.0,0,0.0703933747412008,483,1.2,0.0538302277432712,0.0,0.0,2017,0.0
111,1611760135244,0.0,0.0,1.0,0,0.078095238095238,525,0.2,0.0457142857142857,0.0,0.0,2018,0.0
112,1611760135244,0.0,0.0,1.0,0,0.0770791075050709,493,1.0,0.0527383367139959,0.0,0.0,2019,0.0
113,1611760135244,0.0,1.0,0.0,0,0.1072164948453608,485,2.1,0.0350515463917525,0.0,0.0,2021,1.0
114,1611760138693,0.0,0.0,1.0,0,0.21,1833,0.0081833060556464,0.2804146208401527,0.0578286961265684,0.2285870158210583,2015,0.0
