,schoolcode,district,county,year,charter,mathpass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
91,90901040002,4,02,2018,0.0,92,0.0,0.0,0.0,74,43.2432,100.0,0.0,0.0,0.0
92,91101060005,6,05,2018,0.0,87,0.0,0.0,0.0,135,38.5185,95.5556,2.2222,0.0,0.7407
93,91200010006,1,06,2018,0.0,76,0.0,0.0,0.0,112,48.2143,87.5,8.9286,0.8929,0.8929
94,91402060005,6,05,2018,0.0,89,0.0,0.0,0.0,112,40.1786,95.5357,2.6786,0.8929,0.8929
95,100501040003,4,03,2018,0.0,75,0.0,0.0,0.0,127,61.4173,77.9528,1.5748,14.1732,0.7874
96,100902040004,4,04,2018,0.0,80,0.0,0.0,0.0,60,41.6667,88.3333,0.0,8.3333,0.0
97,101001040002,4,02,2018,0.0,82,0.0,0.0,0.0,72,38.8889,86.1111,5.5556,4.1667,0.0
98,101300010001,1,01,2018,0.0,39,0.0,0.0,0.0,148,69.5946,39.8649,32.4324,11.4865,12.8378
99,101401040005,4,05,2018,0.0,93,0.0,0.0,0.0,108,30.5556,89.8148,1.8519,5.5556,0.9259
100,101601040003,4,03,2018,0.0,73,0.0,0.0,0.0,40,47.5,92.5,2.5,2.5,0.0
101,110101040002,4,02,2018,0.0,73,0.0,0.0,0.0,26,53.8462,100.0,0.0,0.0,0.0
102,110200010011,1,11,2018,0.0,82,0.0,0.0,0.0,135,57.037,88.8889,3.7037,2.963,0.0
103,110304040002,4,02,2018,0.0,79,0.0,0.0,0.0,56,35.7143,100.0,0.0,0.0,0.0
104,110701060001,6,01,2018,0.0,78,0.0,0.0,0.0,128,49.2188,94.5312,0.7812,0.7812,0.7812
105,110901040001,4,01,2018,0.0,81,0.0,0.0,0.0,54,64.8148,96.2963,0.0,1.8519,1.8519
106,120102040001,4,01,2018,0.0,80,0.0,0.0,0.0,10,50.0,90.0,0.0,0.0,0.0
107,120301040001,4,01,2018,0.0,100,0.0,0.0,0.0,15,40.0,93.3333,6.6667,0.0,0.0
108,120401040001,4,01,2018,0.0,76,0.0,0.0,0.0,29,62.069,96.5517,0.0,0.0,3.4483
109,120501040002,4,02,2018,0.0,91,0.0,0.0,0.0,80,32.5,96.25,1.25,0.0,1.25
110,120701040001,4,01,2018,0.0,94,0.0,0.0,0.0,18,38.8889,100.0,0.0,0.0,0.0
111,120906040002,4,02,2018,0.0,83,0.0,0.0,0.0,30,53.3333,93.3333,0.0,6.6667,0.0
112,121401040001,4,01,2018,0.0,85,0.0,0.0,0.0,33,78.7879,84.8485,6.0606,6.0606,3.0303
113,121502040001,4,01,2018,0.0,96,0.0,0.0,0.0,27,40.7407,96.2963,0.0,3.7037,0.0
114,121601060006,6,06,2018,0.0,79,0.0,0.0,0.0,105,46.6667,86.6667,1.9048,7.619,1.9048
115,121701040001,4,01,2018,0.0,81,0.0,0.0,0.0,26,61.5385,96.1538,0.0,3.8462,0.0
116,121702040001,4,01,2018,0.0,93,0.0,0.0,0.0,29,48.2759,86.2069,3.4483,3.4483,3.4483
117,121901040002,4,02,2018,0.0,57,0.0,0.0,0.0,56,60.7143,92.8571,0.0,7.1429,0.0
118,130200010005,1,05,2018,0.0,81,0.0,0.0,0.0,347,47.5504,44.9568,23.0548,29.1066,1.1527
119,130502020003,2,03,2018,0.0,72,0.0,0.0,0.0,105,56.1905,63.8095,5.7143,25.7143,2.8571
120,130801060007,6,07,2018,0.0,66,0.0,0.0,0.0,338,54.7337,60.355,18.3432,16.568,1.1834
121,131101040004,4,04,2018,0.0,60,0.0,0.0,0.0,58,56.8966,68.9655,3.4483,24.1379,1.7241
122,131201040002,4,02,2018,0.0,95,0.0,0.0,0.0,85,23.5294,84.7059,0.0,12.9412,1.1765
123,131301040002,4,02,2018,0.0,89,0.0,0.0,0.0,74,45.9459,78.3784,4.0541,10.8108,2.7027
124,131500010010,1,10,2018,0.0,32,0.0,0.0,0.0,413,81.8402,7.0218,58.3535,30.7506,0.7264
125,131601060008,6,08,2018,0.0,78,0.0,0.0,0.0,553,28.3906,69.2586,10.1266,15.7324,2.5316
126,131602020005,2,05,2018,0.0,95,0.0,0.0,0.0,76,31.5789,59.2105,18.4211,11.8421,6.5789
127,131701060002,6,02,2018,0.0,99,0.0,0.0,0.0,134,23.1343,90.2985,1.4925,5.9701,1.4925
128,131801040001,4,01,2018,0.0,90,0.0,0.0,0.0,77,28.5714,87.013,3.8961,7.7922,1.2987
129,132101060011,6,11,2018,0.0,72,0.0,0.0,0.0,431,44.7796,56.6125,12.761,24.1299,4.1763
130,132101060015,6,15,2018,0.0,81,0.0,0.0,0.0,473,25.37,75.6871,6.7653,14.5877,1.6913
131,132101060016,6,16,2018,0.0,44,0.0,0.0,0.0,36,55.5556,69.4444,8.3333,22.2222,0.0
