,RCDTS,Charter,totaltested,elapass,white,black,hispanic,lowincome,year,closedper,hybridper,inpersonper,virtualper,remote
51,10691170220014,0,221.0,0.295,0.8280542986425339,0.0271493212669683,0.0769230769230769,0.4434389140271493,2017,0.0,0.0,1.0,0.0,0.0
52,10750030260002,0,16.0,0.0,1.0,0.0,0.0,0.625,2021,0.0,0.2727272727272727,0.7272727272727273,0.0,0.1363636363636362
53,10750030260002,0,17.0,0.409,1.0,0.0,0.0,0.7058823529411765,2019,0.0,0.0,1.0,0.0,0.0
54,10750030260002,0,17.0,0.294,0.9411764705882352,0.0,0.0,0.5882352941176471,2018,0.0,0.0,1.0,0.0,0.0
55,10750030260002,0,22.0,0.22699999999999998,1.0,0.0,0.0,0.2727272727272727,2017,0.0,0.0,1.0,0.0,0.0
56,10750040260002,0,20.0,0.2,1.0,0.0,0.0,0.0,2021,0.0909090909090909,0.2727272727272727,0.6363636363636364,0.0,0.2272727272727273
57,10750040260002,0,26.0,0.192,0.9230769230769232,0.0,0.0,1.0,2019,0.0,0.0,1.0,0.0,0.0
58,10750040260002,0,21.0,0.095,1.0,0.0,0.0,0.7142857142857143,2018,0.0,0.0,1.0,0.0,0.0
59,10750040260002,0,26.0,0.2,1.0,0.0,0.0,0.5384615384615384,2017,0.0,0.0,1.0,0.0,0.0
60,10750100260009,0,76.0,0.22399999999999998,0.9736842105263158,0.0,0.0,0.3684210526315789,2021,0.0909090909090909,0.8181818181818182,0.0909090909090909,0.0,0.4999999999999999
61,10750100260009,0,74.0,0.33799999999999997,1.0,0.0,0.0,0.3108108108108108,2019,0.0,0.0,1.0,0.0,0.0
62,10750100260009,0,72.0,0.38799999999999996,1.0,0.0,0.0,0.4027777777777778,2018,0.0,0.0,1.0,0.0,0.0
63,10750100260009,0,77.0,0.312,0.961038961038961,0.0,0.0259740259740259,0.4415584415584415,2017,0.0,0.0,1.0,0.0,0.0
64,10750120260001,0,20.0,0.15,1.0,0.0,0.0,0.0,2021,0.0909090909090909,0.6363636363636364,0.2727272727272727,0.0,0.4090909090909091
65,10750120260001,0,34.0,0.353,0.9117647058823528,0.0,0.0,0.5294117647058824,2019,0.0,0.0,1.0,0.0,0.0
66,10750120260001,0,36.0,0.306,0.9722222222222222,0.0,0.0,0.6388888888888888,2018,0.0,0.0,1.0,0.0,0.0
67,10750120260001,0,38.0,0.42100000000000004,0.9736842105263158,0.0263157894736842,0.0,0.4473684210526316,2017,0.0,0.0,1.0,0.0,0.0
68,10860010260001,0,52.0,0.115,0.9615384615384616,0.0,0.0,0.4038461538461538,2021,0.0909090909090909,0.5454545454545454,0.3636363636363636,0.0,0.3636363636363636
