,RCDTS,totalenrolled,white,black,hispanic,lowincome,dropout,year,charter,closedper,hybridper,inpersonper,virtualper,remote
89,11012004C260001,394,0.9620000000000001,0.005,0.018000000000000002,0.508,0.051,2019,0,0.0,0.0,1.0,0.0,0.0
90,11012004C260001,390,0.951,0.0,0.0,0.462,0.011000000000000001,2018,0,0.0,0.0,1.0,0.0,0.0
91,11012004C260001,426,0.958,0.009000000000000001,0.021,0.444,0.003,2017,0,0.0,0.0,1.0,0.0,0.0
92,110150010260001,756,0.851,0.05,0.04,0.43700000000000006,0.055,2021,0,0.0,0.4545454545454545,0.5454545454545454,0.0,0.2272727272727273
93,110150010260001,811,0.872,0.039,0.040999999999999995,0.397,0.068,2019,0,0.0,0.0,1.0,0.0,0.0
94,110150010260001,803,0.868,0.04,0.05,0.374,0.03,2018,0,0.0,0.0,1.0,0.0,0.0
95,110150010260001,806,0.89,0.032,0.047,0.397,0.035,2017,0,0.0,0.0,1.0,0.0,0.0
96,110150020260001,921,0.8640000000000001,0.03,0.051,0.546,0.031,2021,0,0.0909090909090909,0.3636363636363636,0.3636363636363636,0.1818181818181818,0.4545454545454546
97,110150020260001,954,0.8809999999999999,0.039,0.040999999999999995,0.474,0.03,2019,0,0.0,0.0,1.0,0.0,0.0
98,110150020260001,1013,0.883,0.036000000000000004,0.043,0.46799999999999997,0.011000000000000001,2018,0,0.0,0.0,1.0,0.0,0.0
99,110150020260001,1072,0.882,0.04,0.037000000000000005,0.503,0.013000000000000001,2017,0,0.0,0.0,1.0,0.0,0.0
100,110150050260002,72,0.903,0.0,0.0,0.41700000000000004,0.069,2021,0,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
101,110150050260002,73,0.89,0.013999999999999999,0.040999999999999995,0.425,0.026000000000000002,2019,0,0.0,0.0,1.0,0.0,0.0
102,110150050260002,78,0.9490000000000001,0.0,0.0,0.41,0.0,2018,0,0.0,0.0,1.0,0.0,0.0
103,110150050260002,75,1.0,0.0,0.0,0.33299999999999996,0.0,2017,0,0.0,0.0,1.0,0.0,0.0
104,110180030260001,285,0.9470000000000001,0.0,0.0,0.337,0.022000000000000002,2021,0,0.0909090909090909,0.0,0.9090909090909092,0.0,0.0909090909090909
105,110180030260001,336,0.9520000000000001,0.012,0.009000000000000001,0.042,0.033,2019,0,0.0,0.0,1.0,0.0,0.0
106,110180030260001,330,0.961,0.0,0.0,0.473,0.021,2018,0,0.0,0.0,1.0,0.0,0.0
107,110180030260001,325,0.966,0.009000000000000001,0.0,0.42200000000000004,0.032,2017,0,0.0,0.0,1.0,0.0,0.0
108,110180770260001,292,0.973,0.0,0.0,0.366,0.01,2021,0,0.0909090909090909,0.7272727272727273,0.1818181818181818,0.0,0.4545454545454546
109,110180770260001,269,0.981,0.0,0.0,0.387,0.01,2019,0,0.0,0.0,1.0,0.0,0.0
