,schoolcode,year,charter,mathpass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
585,321100011249,2019,0.0,55,0.0,0.0,0.0,154,73.3766,3.8961,56.4935,34.4156,2.5974
586,321100011253,2019,0.0,47,0.0,0.0,0.0,190,76.8421,2.6316,47.8947,43.6842,3.6842
587,321100011270,2019,0.0,29,0.0,0.0,0.0,171,77.193,1.7544,64.9123,29.8246,1.1696
588,321100011275,2019,0.0,64,0.0,0.0,0.0,208,76.4423,0.9615,38.4615,53.8462,5.2885
589,321100011288,2019,0.0,57,0.0,0.0,0.0,184,77.1739,13.587,39.1304,37.5,7.0652
590,321100011290,2019,0.0,45,0.0,0.0,0.0,198,83.3333,1.5152,44.4444,50.0,3.5354
591,321100011299,2019,0.0,52,0.0,0.0,0.0,212,77.3585,12.7358,27.3585,50.0,7.0755
592,321100011418,2019,0.0,44,0.0,0.0,0.0,193,80.829,8.2902,28.4974,61.1399,2.0725
593,321100011455,2019,0.0,58,0.0,0.0,0.0,849,77.3852,2.2379,51.7079,41.4605,2.9446
594,321100011508,2019,0.0,41,0.0,0.0,0.0,216,80.0926,6.9444,32.8704,53.7037,5.5556
595,321100011509,2019,0.0,80,0.0,0.0,0.0,192,98.9583,14.5833,6.7708,60.9375,16.6667
596,321100011513,2019,0.0,80,0.0,0.0,0.0,261,95.4023,12.6437,12.2605,63.9847,10.728
597,321100011514,2019,0.0,57,0.0,0.0,0.0,154,76.6234,3.8961,55.8442,33.7662,3.2468
598,321100011542,2019,0.0,42,0.0,0.0,0.0,208,69.2308,9.6154,29.3269,53.3654,6.7308
599,321100011544,2019,0.0,43,0.0,0.0,0.0,207,79.2271,3.3816,46.8599,45.8937,1.9324
600,321100011545,2019,0.0,39,0.0,0.0,0.0,111,81.982,3.6036,38.7387,48.6486,5.4054
601,321100860956,2019,0.0,65,0.0,0.0,0.0,121,82.6446,0.0,58.6777,38.843,2.4793
602,321200010242,2019,0.0,49,0.0,0.0,0.0,184,89.1304,0.5435,18.4783,76.087,4.8913
603,321200011248,2019,0.0,46,0.0,0.0,0.0,115,92.1739,1.7391,20.0,76.5217,0.8696
604,321200011251,2019,0.0,48,0.0,0.0,0.0,164,85.3659,0.6098,25.6098,71.3415,1.2195
605,321200011267,2019,0.0,59,0.0,0.0,0.0,225,93.7778,2.2222,20.8889,74.6667,1.3333
606,321200011271,2019,0.0,50,0.0,0.0,0.0,237,94.5148,0.8439,29.9578,63.7131,3.7975
607,321200011388,2019,0.0,73,0.0,0.0,0.0,147,98.6395,0.0,0.6803,99.3197,0.0
608,321200011478,2019,0.0,74,0.0,0.0,0.0,98,77.551,3.0612,18.3673,73.4694,2.0408
609,321200011479,2019,0.0,39,0.0,0.0,0.0,122,87.7049,0.8197,38.5246,55.7377,0.8197
610,321200011480,2019,0.0,49,0.0,0.0,0.0,41,90.2439,7.3171,56.0976,34.1463,0.0
611,321200011511,2019,0.0,35,0.0,0.0,0.0,205,90.2439,1.4634,32.6829,62.9268,1.4634
612,321200011521,2019,0.0,49,0.0,0.0,0.0,206,92.7184,1.4563,21.3592,74.7573,1.4563
613,321200011550,2019,0.0,49,0.0,0.0,0.0,223,98.2063,5.3812,12.5561,73.5426,8.0717
614,321200011684,2019,0.0,38,0.0,0.0,0.0,178,90.4494,2.2472,53.3708,41.0112,0.5618
616,321200860965,2019,0.0,85,0.0,0.0,0.0,171,96.4912,2.924,25.1462,70.7602,0.0
617,321200861010,2019,0.0,06,0.0,0.0,0.0,62,90.3226,0.0,56.4516,41.9355,0.0
