,schoolcode,district,year,charter,dropout,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
108,57802001,57802,2018,0.0,0,0.0,0.0,0.0,147,87.7551,0.6803,25.1701,74.1497,0.0
109,57803002,57803,2018,0.0,0,0.0,0.0,0.0,546,24.5421,12.0879,6.4103,24.359,53.1136
110,57803010,57803,2018,0.0,0,0.0,0.0,0.0,446,86.5471,0.8969,4.4843,93.2735,0.4484
111,57807001,57807,2018,0.0,0,0.0,0.0,0.0,479,77.2443,1.0438,51.5658,46.1378,0.4175
112,57808101,57808,2018,0.0,0,0.0,0.0,0.0,93,66.6667,0.0,39.7849,51.6129,5.3763
113,57808102,57808,2018,0.0,0,0.0,0.0,0.0,42,2.381,9.5238,42.8571,11.9048,33.3333
114,57814005,57814,2018,0.0,0,0.0,0.0,0.0,1,100.0,0.0,100.0,0.0,0.0
115,57819001,57819,2018,0.0,0,0.0,0.0,0.0,16,100.0,0.0,18.75,81.25,0.0
116,57845001,57845,2018,0.0,0,0.0,0.0,0.0,176,17.6136,52.2727,9.6591,32.3864,1.7045
117,57847001,57847,2018,0.0,0,0.0,0.0,0.0,231,20.7792,29.8701,28.1385,32.4675,2.5974
118,57848006,57848,2018,0.0,0,0.0,0.0,0.0,560,62.5,7.6786,26.25,60.1786,3.3929
119,57850001,57850,2018,0.0,0,0.0,0.0,0.0,26,42.3077,23.0769,23.0769,46.1538,0.0
120,57850002,57850,2018,0.0,0,0.0,0.0,0.0,12,58.3333,50.0,0.0,41.6667,0.0
121,57903005,57903,2018,0.0,0,0.0,0.0,0.0,248,79.4355,10.0806,22.9839,64.5161,0.8065
122,57903010,57903,2018,0.0,0,0.0,0.0,0.0,339,81.4159,4.4248,4.1298,83.4808,6.7847
123,57905026,57905,2018,0.0,0,0.0,0.0,0.0,428,60.7477,14.486,10.0467,59.1121,13.3178
124,57905034,57905,2018,0.0,0,0.0,0.0,0.0,1012,32.9051,41.8972,21.9368,29.8419,3.4585
125,57905035,57905,2018,0.0,0,0.0,0.0,0.0,244,85.6557,5.7377,13.5246,77.459,2.459
126,57905036,57905,2018,0.0,0,0.0,0.0,0.0,553,82.6401,2.3508,19.1682,73.0561,3.255
127,57905037,57905,2018,0.0,0,0.0,0.0,0.0,335,77.3134,2.3881,27.1642,68.9552,1.194
128,57905039,57905,2018,0.0,0,0.0,0.0,0.0,278,40.6475,37.4101,8.6331,37.0504,13.6691
129,57905085,57905,2018,0.0,0,0.0,0.0,0.0,350,81.7143,1.1429,49.4286,49.1429,0.0
130,57905088,57905,2018,0.0,0,0.0,0.0,0.0,434,84.1014,0.9217,8.2949,89.1705,0.9217
131,57905090,57905,2018,0.0,0,0.0,0.0,0.0,230,84.7826,3.0435,12.1739,83.4783,1.3043
132,57907007,57907,2018,0.0,0,0.0,0.0,0.0,7,71.4286,0.0,71.4286,28.5714,0.0
133,57909053,57909,2018,0.0,0,0.0,0.0,0.0,335,71.0448,16.1194,28.3582,52.8358,0.2985
134,57910001,57910,2018,0.0,0,0.0,0.0,0.0,393,38.9313,35.369,15.5216,42.4936,2.799
135,57910007,57910,2018,0.0,0,0.0,0.0,0.0,10,80.0,0.0,30.0,60.0,0.0
136,57910011,57910,2018,0.0,0,0.0,0.0,0.0,87,67.8161,10.3448,22.9885,62.069,3.4483
137,57910053,57910,2018,0.0,0,0.0,0.0,0.0,146,71.9178,10.274,13.0137,67.8082,6.8493
138,57914007,57914,2018,0.0,0,0.0,0.0,0.0,11,72.7273,9.0909,36.3636,45.4545,0.0
139,57916006,57916,2018,0.0,0,0.0,0.0,0.0,186,71.5054,17.2043,26.3441,52.1505,1.6129
140,58902001,58902,2018,0.0,0,0.0,0.0,0.0,24,45.8333,41.6667,0.0,45.8333,0.0
141,58905001,58905,2018,0.0,0,0.0,0.0,0.0,61,32.7869,67.2131,0.0,29.5082,1.6393
142,58906001,58906,2018,0.0,0,0.0,0.0,0.0,542,70.2952,16.6052,4.428,77.8598,0.1845
143,58909001,58909,2018,0.0,0,0.0,0.0,0.0,58,37.931,55.1724,1.7241,39.6552,1.7241
144,61901005,61901,2018,0.0,0,0.0,0.0,0.0,188,68.0851,30.8511,25.5319,40.4255,1.0638
145,61910001,61910,2018,0.0,0,0.0,0.0,0.0,876,8.5616,84.3607,1.0274,10.5023,1.5982
146,62901001,62901,2018,0.0,0,0.0,0.0,0.0,726,64.0496,46.4187,12.259,38.4298,0.551
147,62902001,62902,2018,0.0,0,0.0,0.0,0.0,41,60.9756,51.2195,4.878,43.9024,0.0
148,63903001,63903,2018,0.0,0,0.0,0.0,0.0,83,57.8313,48.1928,4.8193,46.988,0.0
149,63906001,63906,2018,0.0,0,0.0,0.0,0.0,29,79.3103,58.6207,0.0,41.3793,0.0
150,65901001,65901,2018,0.0,0,0.0,0.0,0.0,137,45.9854,72.9927,10.9489,12.4088,0.0
151,65902001,65902,2018,0.0,0,0.0,0.0,0.0,41,73.1707,63.4146,0.0,31.7073,2.439
152,67902004,67902,2018,0.0,0,0.0,0.0,0.0,13,53.8462,76.9231,7.6923,15.3846,0.0
153,67904001,67904,2018,0.0,0,0.0,0.0,0.0,89,60.6742,58.427,2.2472,39.3258,0.0
154,67908001,67908,2018,0.0,0,0.0,0.0,0.0,61,55.7377,90.1639,0.0,8.1967,0.0
155,68803001,68803,2018,0.0,0,0.0,0.0,0.0,63,7.9365,60.3175,4.7619,34.9206,0.0
156,68901004,68901,2018,0.0,0,0.0,0.0,0.0,340,55.8824,20.0,8.8235,69.1176,0.5882
157,68901005,68901,2018,0.0,0,0.0,0.0,0.0,9,44.4444,22.2222,11.1111,66.6667,0.0
158,69901001,69901,2018,0.0,0,0.0,0.0,0.0,86,74.4186,18.6047,0.0,81.3953,0.0
159,69902001,69902,2018,0.0,0,0.0,0.0,0.0,72,61.1111,50.0,0.0,48.6111,0.0
160,70901001,70901,2018,0.0,0,0.0,0.0,0.0,107,52.3364,57.9439,4.6729,35.514,0.0
161,70910001,70910,2018,0.0,0,0.0,0.0,0.0,335,48.0597,54.6269,1.194,41.194,0.2985
162,71801003,71801,2018,0.0,0,0.0,0.0,0.0,118,41.5254,11.0169,2.5424,82.2034,2.5424
163,71806001,71806,2018,0.0,0,0.0,0.0,0.0,348,76.7241,9.1954,0.5747,88.5057,1.1494
164,71806002,71806,2018,0.0,0,0.0,0.0,0.0,206,66.0194,12.6214,3.8835,80.5825,0.4854
165,71902011,71902,2018,0.0,0,0.0,0.0,0.0,742,54.8518,4.8518,2.0216,89.0836,3.504
166,71902015,71902,2018,0.0,0,0.0,0.0,0.0,463,58.9633,13.8229,4.3197,77.1058,2.3758
167,71902027,71902,2018,0.0,0,0.0,0.0,0.0,55,85.4545,5.4545,1.8182,90.9091,0.0
168,71905014,71905,2018,0.0,0,0.0,0.0,0.0,301,86.0465,2.99,3.3223,93.6877,0.0
169,71905017,71905,2018,0.0,0,0.0,0.0,0.0,390,67.4359,5.1282,0.0,93.8462,1.0256
170,71907003,71907,2018,0.0,0,0.0,0.0,0.0,365,53.4247,9.0411,3.2877,85.2055,0.8219
171,71909003,71909,2018,0.0,0,0.0,0.0,0.0,277,82.6715,1.444,2.5271,94.2238,0.0
172,71909007,71909,2018,0.0,0,0.0,0.0,0.0,484,72.314,1.4463,1.4463,95.0413,1.6529
173,72801001,72801,2018,0.0,0,0.0,0.0,0.0,141,87.234,65.9574,4.2553,26.2411,0.0
174,72801104,72801,2018,0.0,0,0.0,0.0,0.0,180,87.2222,2.7778,1.1111,95.5556,0.0
175,72801107,72801,2018,0.0,0,0.0,0.0,0.0,137,55.4745,5.8394,0.7299,93.4307,0.0
176,72801109,72801,2018,0.0,0,0.0,0.0,0.0,224,75.0,1.3393,0.4464,98.2143,0.0
177,72801115,72801,2018,0.0,0,0.0,0.0,0.0,260,95.3846,1.9231,0.0,98.0769,0.0
178,72801116,72801,2018,0.0,0,0.0,0.0,0.0,184,100.0,2.7174,0.0,97.2826,0.0
179,72801128,72801,2018,0.0,0,0.0,0.0,0.0,161,44.0994,37.8882,13.0435,41.6149,2.4845
180,72801129,72801,2018,0.0,0,0.0,0.0,0.0,200,56.5,9.0,0.0,90.0,0.0
181,72801136,72801,2018,0.0,0,0.0,0.0,0.0,142,56.338,54.9296,0.7042,40.8451,0.0
182,72801137,72801,2018,0.0,0,0.0,0.0,0.0,187,45.9893,82.8877,0.5348,13.369,0.0
183,72801138,72801,2018,0.0,0,0.0,0.0,0.0,144,52.7778,70.8333,2.0833,24.3056,0.0
184,72801146,72801,2018,0.0,0,0.0,0.0,0.0,262,89.6947,3.4351,0.3817,96.1832,0.0
