,RCDTS,City,County,District Size,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Low Income,Total Number of School Days,Student Mobility Rate,High School Dropout Rate - Total,High School Dropout Rate - Male,High School Dropout Rate - Female,High School Dropout Rate - Low Income,High School 4-Year Graduation Rate - Total,High School 4-Year Graduation Rate - Male,High School 4-Year Graduation Rate - Female,High School 4-Year Graduation Rate - White,High School 4-Year Graduation Rate - Low Income,Avg Class Size - High School,Teacher Retention Rate,Chronic Absenteeism,Chronic Absenteeism - Low Income,% Graduates enrolled in a Postsecondary Institution within 12 months,% Graduates enrolled in a Postsecondary Institution within 12 months - Private Institution,% Graduates enrolled in a Postsecondary Institution within 12 months - Four-year Institution,Year
507,400560340260001,Virden,Macoupin,MEDIUM,376,93.6,38.6,176.0,10.4,5.1,7.0,2.5,10.0,83.5,77.0,92.9,83.0,60.0,20.1,89.5,24.1,37.0,67.6,24.3,46.0,2021
508,410570010260001,Roxana,Madison,LARGE,525,89.5,49.0,176.0,15.5,4.4,7.2,1.5,4.9,83.1,70.9,97.1,83.3,77.0,20.1,92.8,39.2,48.0,60.8,12.5,30.8,2021
509,410570020260001,Troy,Madison,LARGE,1185,93.0,19.2,176.0,4.1,1.3,1.5,1.2,3.0,93.0,91.8,94.4,94.6,85.5,20.4,92.5,17.5,36.0,75.7,10.0,41.8,2021
510,410570050260001,Highland,Madison,LARGE,891,95.8,27.2,176.0,4.5,1.9,2.2,1.6,5.4,91.5,91.7,91.2,91.2,80.6,21.5,92.7,10.5,24.3,70.2,11.9,45.1,2021
511,410570070260001,Edwardsville,Madison,LARGE,2304,81.1,14.5,176.0,6.5,2.6,2.6,2.6,7.0,91.3,90.2,92.7,91.7,76.4,22.5,92.8,21.3,45.1,78.5,13.9,58.1,2021
512,410570080260001,Bethalto,Madison,LARGE,745,91.8,37.9,176.0,4.9,2.2,2.1,2.3,4.1,93.1,91.0,96.0,93.7,89.3,17.4,89.1,50.5,66.1,61.7,6.2,25.3,2021
513,410570090260001,Granite City,Madison,LARGE,1808,66.6,55.3,176.0,7.2,4.7,5.6,3.7,6.1,74.5,67.8,82.4,79.8,65.0,20.2,94.9,69.6,76.4,54.2,11.6,29.1,2021
514,410570100260001,Collinsville,Madison,LARGE,1882,59.3,48.2,176.0,6.7,2.6,2.9,2.2,3.2,87.4,84.2,91.6,88.1,80.3,20.3,91.0,28.3,38.3,56.1,7.2,26.7,2021
515,410570110260001,Alton,Madison,LARGE,1935,59.1,45.5,176.0,15.9,5.9,7.5,4.1,7.9,73.4,68.2,78.5,75.3,66.0,25.5,88.8,43.2,60.8,61.2,8.7,29.5,2021
516,410570120260001,Madison,Madison,MEDIUM,149,,100.0,176.0,11.3,5.1,5.1,5.2,5.2,71.0,66.7,73.7,,71.0,12.4,73.9,67.4,67.9,35.7,12.5,25.0,2021
517,410570140160001,Wood River,Madison,SMALL,570,84.7,60.4,177.0,14.7,3.9,5.7,2.0,4.4,85.2,81.1,89.3,87.2,78.7,20.9,97.0,18.7,23.5,46.8,4.8,18.6,2021
518,440630120260002,Johnsburg,McHenry,LARGE,580,90.0,24.3,176.0,2.4,2.5,4.0,1.0,2.7,91.2,88.2,93.8,93.1,82.1,20.0,87.6,8.8,19.3,63.0,11.0,34.9,2021
519,440630190240002,Hebron,McHenry,SMALL,100,74.0,37.0,176.0,7.7,4.8,6.5,3.4,4.8,92.6,90.0,94.1,94.1,,11.5,75.9,12.4,22.0,57.1,25.0,32.1,2021
520,440630500260001,Harvard,McHenry,LARGE,768,30.5,42.2,177.0,5.7,3.2,3.8,2.5,2.8,78.6,69.5,88.5,80.3,75.3,16.3,90.5,23.1,29.7,46.4,4.0,9.9,2021
521,440631540160001,Marengo,McHenry,MEDIUM,657,72.5,25.9,177.0,8.3,2.9,3.2,2.5,3.2,92.9,90.1,97.1,93.2,80.6,22.7,95.0,16.6,30.4,67.2,10.2,35.6,2021
522,440631550160001,Crystal Lake,McHenry,LARGE,1450,69.7,29.9,176.0,5.1,1.2,0.6,1.8,2.3,96.1,95.0,97.4,97.1,91.2,22.0,96.9,12.4,25.1,72.6,17.2,40.4,2021
523,440631550160002,Cary,McHenry,LARGE,1558,81.7,20.3,176.0,2.9,1.0,1.0,1.0,2.6,96.3,94.7,97.7,96.8,92.1,24.7,93.7,15.9,31.6,78.4,15.6,47.2,2021
524,440631550160003,Crystal Lake,McHenry,LARGE,1369,75.4,25.6,176.0,4.6,0.6,0.6,0.6,1.1,97.1,97.6,96.5,97.1,94.5,23.8,93.4,15.6,32.7,76.7,11.5,46.9,2021
525,440631550160004,Crystal Lake,McHenry,LARGE,1219,85.5,14.2,176.0,5.3,1.0,0.8,1.2,0.0,96.3,95.5,97.0,97.4,97.5,24.2,89.6,5.7,11.8,77.9,16.7,45.3,2021
526,440631560160001,McHenry,McHenry,MEDIUM,1478,69.4,30.1,176.0,4.8,1.5,2.3,0.8,2.7,92.8,94.1,91.5,92.0,88.7,21.9,87.2,21.3,34.2,58.9,11.7,24.7,2021
527,440631560160002,McHenry,McHenry,MEDIUM,668,78.3,26.9,176.0,5.4,1.8,2.6,1.0,4.9,91.0,92.2,89.9,91.5,81.6,20.8,89.5,20.5,32.6,60.8,12.6,27.6,2021
528,440631570160001,Richmond,McHenry,MEDIUM,580,86.4,7.4,175.0,4.2,0.7,1.1,0.3,2.2,93.7,93.0,94.4,95.2,,19.0,92.0,12.8,19.1,80.8,16.0,55.1,2021
529,440631580220002,Huntley,McHenry,LARGE,3012,74.1,11.7,176.0,2.1,1.2,1.4,1.1,1.9,93.8,93.0,94.5,95.0,88.8,25.8,92.7,36.1,51.2,76.2,11.0,41.3,2021
530,440632000260008,Woodstock,McHenry,LARGE,1000,53.2,33.9,176.0,8.1,1.3,0.8,1.7,2.4,95.1,93.1,97.9,97.5,91.6,24.6,92.1,2.2,3.6,64.1,11.7,27.7,2021
531,440632000260009,Woodstock,McHenry,LARGE,935,59.6,30.9,176.0,7.0,1.2,1.5,1.0,2.2,93.4,91.0,95.8,94.5,86.3,25.7,89.8,5.9,9.0,64.0,12.8,26.5,2021
532,450670030260001,Valmeyer,Monroe,SMALL,134,94.0,19.4,176.0,9.1,1.5,2.8,0.0,4.3,91.3,86.7,100.0,91.1,,13.7,88.9,8.5,25.9,76.0,28.0,48.0,2021
533,450670040260001,Columbia,Monroe,LARGE,611,91.8,9.8,176.0,4.7,0.8,1.3,0.3,4.6,98.2,97.8,98.7,98.1,88.9,21.4,91.7,9.0,29.2,81.7,13.3,61.4,2021
534,450670050260001,Waterloo,Monroe,LARGE,819,94.6,16.1,176.0,4.0,1.7,2.0,1.5,5.3,91.8,88.5,95.1,92.3,88.6,22.8,92.5,8.2,28.9,75.3,13.4,44.1,2021
535,450790010220001,Coulterville,Randolph,SMALL,62,90.3,64.5,176.0,7.3,1.8,0.0,3.3,2.8,90.0,,,,,9.1,92.3,25.8,32.6,76.5,11.8,29.4,2021
536,450791320260001,Red Bud,Randolph,MEDIUM,372,97.0,34.9,176.0,6.8,2.9,3.9,1.8,7.2,91.4,87.7,95.8,91.1,82.9,18.2,89.7,14.6,25.7,56.0,10.7,21.4,2021
537,450791380260001,Steeleville,Randolph,SMALL,144,93.1,27.8,176.0,4.3,2.0,2.4,1.6,4.3,89.5,90.5,88.2,88.6,85.7,15.1,85.3,12.8,29.2,82.1,7.1,21.4,2021
538,450791390260001,Chester,Randolph,MEDIUM,342,89.8,41.5,176.0,7.1,2.0,1.2,2.9,2.8,88.0,89.1,87.0,89.1,85.4,18.1,90.8,15.9,27.5,57.1,1.8,35.7,2021
539,450791400260001,Sparta,Randolph,MEDIUM,329,72.9,56.2,176.0,15.6,4.6,5.9,3.2,6.6,74.7,69.8,79.2,75.7,56.9,17.8,83.1,45.9,62.9,44.9,8.7,11.6,2021
540,470521700220001,Dixon,Lee,LARGE,746,83.0,43.2,176.0,9.5,1.5,1.9,1.1,2.7,87.2,86.4,87.9,86.4,82.0,23.7,92.1,27.1,40.2,60.7,8.1,18.5,2021
541,470522720260001,Amboy,Lee,MEDIUM,195,89.7,38.5,176.0,13.3,2.0,1.0,3.1,3.8,88.5,90.3,86.7,87.3,80.0,13.4,88.2,35.5,50.6,60.7,10.7,32.1,2021
542,470522750260001,Ashton,Lee,MEDIUM,220,89.1,35.5,176.0,5.3,2.1,1.5,2.5,1.8,95.0,100.0,91.3,94.3,93.3,16.5,90.5,14.7,30.7,51.4,8.6,17.1,2021
543,470712120170001,Rochelle,Ogle,MEDIUM,849,57.2,14.3,176.0,12.2,2.2,2.5,1.9,6.4,91.6,90.6,92.9,95.0,85.0,13.9,91.6,57.0,65.0,58.9,8.5,19.4,2021
544,470712200260001,Oregon,Ogle,MEDIUM,406,84.7,37.4,176.0,18.7,1.8,2.0,1.6,2.3,92.9,90.7,94.8,93.8,90.6,19.4,82.4,18.4,31.1,54.3,13.8,26.6,2021
545,470712210260004,Forreston,Ogle,MEDIUM,416,88.0,29.1,177.0,5.8,2.1,1.8,2.4,1.5,91.2,95.8,87.9,92.5,78.6,16.8,87.5,11.7,26.6,76.9,13.5,42.3,2021
546,470712220260004,Polo,Ogle,MEDIUM,172,90.1,32.6,174.0,2.3,4.7,4.7,4.7,7.0,92.9,90.5,95.2,95.1,100.0,13.9,100.0,11.4,17.4,54.2,10.4,25.0,2021
547,470712230260003,Stillman Valley,Ogle,MEDIUM,547,83.9,18.8,176.0,15.8,2.0,2.4,1.5,4.2,95.3,94.3,96.5,95.9,87.1,20.7,96.9,26.1,45.5,67.9,6.9,32.1,2021
548,470712260260001,Byron,Ogle,MEDIUM,443,86.9,19.2,176.0,5.6,1.1,1.3,1.0,2.2,85.8,86.6,85.1,86.8,67.7,13.9,93.3,11.9,27.4,55.5,9.1,29.1,2021
549,470980010260001,Erie,Whiteside,MEDIUM,196,93.9,29.6,176.0,11.8,2.5,4.6,0.0,3.8,91.2,86.8,100.0,92.5,82.4,13.0,94.1,11.7,26.3,67.4,4.4,17.4,2021
550,470980020260001,Fulton,Whiteside,MEDIUM,289,94.8,34.9,176.0,8.1,3.4,3.2,3.8,3.8,83.8,82.5,85.3,82.9,82.6,18.4,91.2,11.9,20.4,55.7,9.8,31.2,2021
551,470980030260001,Prophetstown,Whiteside,MEDIUM,205,92.2,55.1,176.0,12.0,4.3,3.4,5.4,6.7,79.4,73.3,84.8,82.5,64.3,15.0,83.3,23.2,34.1,42.9,5.4,12.5,2021
552,470980050260014,Sterling,Whiteside,LARGE,979,54.5,46.9,176.0,10.9,3.8,4.6,2.8,4.5,89.1,85.1,93.2,91.9,83.9,17.8,92.1,22.2,31.8,59.0,12.1,27.7,2021
553,470980060260001,Morrison,Whiteside,MEDIUM,287,90.9,34.8,176.0,5.0,3.8,3.6,4.1,6.6,85.7,76.7,93.9,89.8,70.0,16.2,83.6,33.0,43.4,57.1,9.5,23.8,2021
554,470983010170001,Rock Falls,Whiteside,SMALL,595,69.2,50.3,176.0,8.4,2.2,1.1,3.1,3.7,93.7,91.7,95.4,93.8,91.1,19.1,95.1,3.3,5.4,53.5,8.3,15.9,2021
555,480721500250023,Peoria,Peoria,LARGE,578,10.0,84.4,176.0,33.3,10.5,12.6,8.0,10.8,68.8,61.7,76.8,23.1,68.5,17.0,81.9,66.6,68.6,29.0,3.8,7.6,2021
556,480721500250024,Peoria,Peoria,LARGE,1203,9.9,76.4,176.0,27.4,7.5,10.5,4.6,8.2,68.0,61.7,74.5,55.3,67.5,22.0,86.8,45.9,48.1,34.3,3.6,11.1,2021
557,480721500250025,Peoria,Peoria,LARGE,1349,42.0,36.2,176.0,11.6,2.1,2.7,1.6,2.6,90.1,88.7,91.6,92.6,82.4,21.1,89.9,19.2,32.6,71.1,14.5,35.5,2021
558,480721500250028,Peoria,Peoria,LARGE,47,36.2,38.3,176.0,40.0,0.0,0.0,0.0,0.0,100.0,,,,,15.2,,0.0,0.0,,,,2021
559,480722650260001,Farmington,Peoria,MEDIUM,364,94.2,35.4,176.0,14.9,5.7,6.3,5.1,8.5,81.4,82.1,80.7,82.5,70.3,18.8,80.3,16.6,32.0,61.0,7.6,24.8,2021
560,480723090260003,Brimfield,Peoria,MEDIUM,215,98.6,10.7,176.0,4.3,0.9,0.9,1.0,7.7,91.9,91.4,92.6,91.9,,16.4,88.5,13.0,25.9,84.2,15.8,47.4,2021
561,480723100160001,Peoria,Peoria,MEDIUM,901,76.6,40.1,176.0,17.4,6.1,5.2,7.1,9.4,78.9,79.2,78.5,79.8,69.8,18.4,90.4,36.2,48.1,60.3,11.5,26.5,2021
562,480723210260007,Chillicothe,Peoria,LARGE,610,88.0,33.8,176.0,9.1,3.7,4.4,3.0,5.5,88.0,85.2,91.3,88.8,78.0,19.1,88.3,17.9,31.9,66.7,11.1,27.4,2021
563,480723220260004,Elmwood,Peoria,MEDIUM,178,94.4,13.5,176.0,10.3,5.1,3.1,7.1,14.3,87.3,84.2,90.9,93.5,60.0,15.0,94.4,9.3,23.5,71.7,26.7,38.3,2021
564,480723230260004,Dunlap,Peoria,LARGE,1335,67.4,12.5,176.0,6.6,2.7,2.3,3.0,5.4,90.2,88.2,92.3,91.1,68.6,23.0,91.8,34.9,50.7,84.1,16.8,60.8,2021
565,480723250260005,Peoria Heights,Peoria,MEDIUM,221,64.3,58.8,176.0,11.6,3.0,3.7,2.2,2.9,89.8,87.1,92.9,95.1,86.8,15.6,75.5,14.2,20.2,56.4,2.6,5.1,2021
566,480723260260005,Princeville,Peoria,MEDIUM,367,88.8,31.3,176.0,6.4,2.7,3.4,1.9,3.3,90.6,93.9,87.1,91.7,83.3,14.8,93.7,8.0,18.8,83.0,17.0,26.4,2021
567,480723270260008,Glasford,Peoria,MEDIUM,258,93.4,27.1,176.0,14.3,3.9,5.8,2.2,9.1,79.3,66.7,92.9,81.1,52.9,16.6,85.7,56.5,74.1,70.6,15.7,25.5,2021
568,490810300170001,East Moline,Rock Island,MEDIUM,1737,50.4,58.2,177.0,6.6,3.1,3.4,2.6,4.3,93.9,92.3,95.5,93.4,92.7,10.3,93.0,6.2,7.7,48.1,5.4,12.9,2021
569,490810400220001,Moline,Rock Island,LARGE,2087,54.6,42.8,178.0,9.3,2.9,4.3,1.3,4.5,90.3,87.5,93.2,92.9,83.0,25.4,91.8,58.7,73.4,56.3,10.8,26.0,2021
570,490810410250001,Rock Island,Rock Island,LARGE,1666,42.7,45.6,178.0,13.8,4.8,5.4,4.1,3.2,79.5,79.6,79.3,81.0,74.4,24.1,95.0,70.0,69.4,57.1,11.4,23.4,2021
571,490811000260001,Port Byron,Rock Island,MEDIUM,325,92.0,22.2,176.0,7.0,3.0,1.6,4.8,8.9,98.7,97.9,100.0,98.6,100.0,14.1,84.5,27.1,39.7,72.3,12.1,33.7,2021
572,490812000260001,Sherrard,Rock Island,MEDIUM,423,89.6,23.6,176.0,4.3,1.0,1.9,0.0,2.0,94.6,93.2,96.2,94.1,90.0,16.8,79.5,31.3,55.9,55.3,12.3,27.2,2021
573,490813000260001,Taylor Ridge,Rock Island,MEDIUM,354,94.4,17.2,176.0,6.0,2.2,3.1,1.2,6.3,87.5,85.7,89.7,90.2,63.2,18.5,93.0,21.6,41.5,77.5,23.8,32.5,2021
574,500820090260003,Lebanon,Saint Clair,MEDIUM,266,68.8,35.0,176.0,6.5,1.4,1.5,1.3,4.5,88.4,95.7,80.0,91.2,66.7,13.5,89.9,30.1,45.0,60.0,15.0,30.0,2021
575,500820190260001,Mascoutah,Saint Clair,LARGE,1121,71.3,16.6,177.0,9.6,2.4,2.9,1.8,5.4,91.6,91.8,91.4,93.3,83.0,23.1,92.6,17.6,29.6,71.2,17.3,48.5,2021
576,500820400260001,Marissa,Saint Clair,MEDIUM,235,90.2,60.4,176.0,13.0,0.7,1.3,0.0,1.1,92.3,94.7,90.0,91.9,83.3,11.7,88.5,24.5,35.3,58.5,11.3,24.5,2021
577,500820600260003,New Athens,Saint Clair,MEDIUM,142,95.8,47.9,176.0,1.9,2.1,3.8,0.0,3.3,83.0,82.1,84.2,82.2,76.5,13.6,93.8,15.1,22.2,53.9,3.9,26.9,2021
578,500820770160001,Freeburg,Saint Clair,SMALL,650,94.6,12.9,176.0,4.6,1.9,2.0,1.9,5.8,89.7,96.2,83.3,92.0,65.2,20.2,87.8,6.9,23.5,75.9,13.8,41.4,2021
579,500821870260011,Cahokia,Saint Clair,LARGE,784,4.2,91.5,176.0,14.6,7.0,8.8,5.2,7.1,61.6,55.6,67.2,57.1,62.3,23.3,90.8,82.3,83.6,42.2,11.2,26.1,2021
580,500821880220001,Lovejoy,Saint Clair,SMALL,33,,100.0,177.0,21.9,3.1,5.3,0.0,3.1,,,,,,,100.0,85.0,85.0,10.0,0.0,10.0,2021
581,500821890220043,East Saint Louis,Saint Clair,LARGE,1170,,99.5,199.0,11.4,5.8,7.5,4.1,6.0,70.9,64.4,77.6,,72.1,21.2,87.6,83.0,83.3,41.1,9.8,32.8,2021
582,500821960260001,Dupo,Saint Clair,MEDIUM,262,82.8,57.6,176.0,10.4,4.7,6.8,2.6,6.7,80.3,72.1,90.9,78.6,74.4,16.4,85.5,30.9,45.6,52.3,20.0,21.5,2021
583,500822010170001,Belleville,Saint Clair,LARGE,2414,44.5,43.5,177.0,18.9,2.3,2.7,1.8,2.3,90.0,88.1,91.7,90.0,89.3,23.7,89.2,6.6,10.6,60.5,10.6,35.1,2021
584,500822010170002,Belleville,Saint Clair,LARGE,2127,49.7,50.2,177.0,16.4,2.4,3.0,1.8,3.4,92.4,90.5,94.5,93.7,90.8,25.0,88.0,8.3,11.2,59.6,11.8,37.2,2021
585,500822030170001,O Fallon,Saint Clair,MEDIUM,2479,62.6,20.5,176.0,5.0,2.5,2.5,2.5,4.3,90.5,86.3,95.0,91.9,76.5,23.4,95.6,8.0,21.5,79.4,14.8,51.2,2021
586,510652000260001,Greenview,Menard,SMALL,113,94.7,45.1,176.0,10.9,7.2,11.4,2.9,6.3,90.5,83.3,,90.0,,5.6,72.7,27.7,34.7,30.8,15.4,15.4,2021
587,510652020260001,Petersburg,Menard,MEDIUM,413,94.4,33.4,176.0,6.4,3.5,3.5,3.4,5.9,82.1,78.4,85.4,83.6,63.0,16.9,88.4,8.5,5.6,50.7,11.6,29.0,2021
588,510652130260001,Athens,Menard,MEDIUM,321,95.3,29.9,176.0,4.1,2.8,2.4,3.1,4.9,87.0,93.3,80.9,86.4,78.1,18.7,95.1,22.4,43.5,71.3,12.5,36.3,2021
589,510840010260001,Buffalo,Sangamon,MEDIUM,155,92.9,89.0,176.0,10.2,3.8,3.8,3.7,8.1,91.2,94.4,87.5,96.6,78.6,13.4,88.6,4.7,7.4,52.3,13.6,25.0,2021
590,51084003A260001,Rochester,Sangamon,LARGE,758,91.8,13.7,176.0,3.7,0.5,0.5,0.5,1.8,95.1,94.4,95.7,96.0,77.8,23.1,92.1,6.1,18.6,75.0,8.9,42.2,2021
591,510840050260001,Chatham,Sangamon,LARGE,1461,78.4,18.3,176.0,4.3,2.5,2.8,2.2,5.8,90.3,86.0,94.9,90.5,80.3,22.5,88.4,23.3,31.6,72.9,12.4,41.9,2021
592,510840080260001,Pleasant Plains,Sangamon,MEDIUM,400,91.0,19.3,176.0,4.1,3.2,3.8,2.5,6.1,90.1,86.8,93.8,91.1,93.8,18.6,90.4,10.3,12.9,80.8,11.7,44.2,2021
593,510840100260001,Auburn,Sangamon,MEDIUM,387,92.0,26.1,176.0,7.1,2.2,2.3,2.2,5.3,88.5,90.7,86.0,87.8,,19.6,87.1,22.8,41.7,64.3,13.3,30.6,2021
594,510840110260001,Pawnee,Sangamon,MEDIUM,230,94.8,18.7,177.0,4.7,6.1,5.0,7.1,18.6,84.6,80.8,88.5,86.3,60.0,12.4,82.4,15.2,29.8,57.9,13.2,26.3,2021
595,510840140260001,Riverton,Sangamon,MEDIUM,398,88.7,44.5,176.0,12.0,4.3,5.9,2.6,7.9,72.7,71.7,73.9,76.1,66.0,14.4,77.8,21.3,30.5,58.9,7.8,18.9,2021
596,510840150260001,Williamsville,Sangamon,MEDIUM,469,94.0,12.2,176.0,6.3,0.7,1.3,0.0,0.0,99.2,98.6,100.0,99.1,100.0,18.3,95.6,3.7,12.1,86.5,14.4,46.0,2021
597,510840160260001,New Berlin,Sangamon,MEDIUM,262,92.4,24.8,176.0,11.9,3.3,2.9,3.6,4.2,96.7,93.1,100.0,98.1,90.9,17.2,81.4,13.9,29.3,64.5,17.7,38.7,2021
598,510841860250001,Springfield,Sangamon,LARGE,1084,46.2,68.2,176.0,13.3,8.5,10.4,6.4,9.5,67.8,62.6,73.0,66.9,64.6,19.0,86.0,78.7,84.1,40.3,7.0,19.4,2021
599,510841860250002,Springfield,Sangamon,LARGE,1488,52.3,32.9,176.0,9.5,4.5,4.4,4.6,6.8,82.3,80.6,83.8,89.9,67.9,23.1,88.8,41.3,67.8,72.8,13.3,48.1,2021
600,510841860250003,Springfield,Sangamon,LARGE,1232,34.7,60.2,176.0,15.8,10.3,11.5,9.1,12.0,63.5,58.9,68.4,63.4,60.8,18.9,87.9,67.9,79.3,56.2,11.1,34.9,2021
601,530601260260001,Havana,Mason,MEDIUM,295,94.6,42.0,176.0,14.9,2.8,4.6,1.3,4.1,91.9,81.8,100.0,94.2,95.5,17.1,78.2,15.1,17.4,59.7,9.7,32.3,2021
602,530601890260001,Mason City,Mason,MEDIUM,188,93.1,44.7,176.0,12.4,5.4,6.3,4.4,8.6,86.4,90.5,82.6,86.4,85.7,12.0,97.1,42.6,51.7,52.5,2.5,15.0,2021
603,530601910260001,Manito,Mason,MEDIUM,285,95.8,46.3,177.0,17.8,6.1,6.6,5.8,8.5,79.5,82.1,78.0,81.1,60.0,17.6,92.4,35.8,48.5,43.8,4.7,18.8,2021
604,530903030160002,Pekin,Tazewell,MEDIUM,1827,90.2,48.1,176.0,9.1,2.6,3.6,1.6,4.4,88.1,84.0,92.7,88.7,79.6,15.8,90.9,45.5,63.8,54.5,9.6,19.6,2021
605,530903080160001,Washington,Tazewell,MEDIUM,1395,87.8,22.1,176.0,5.3,1.9,2.4,1.4,4.4,92.2,88.8,96.0,93.1,78.3,21.5,92.8,10.6,25.3,76.9,17.1,35.9,2021
606,530903090160001,East Peoria,Tazewell,MEDIUM,995,84.2,52.8,176.0,13.2,3.3,3.6,2.9,4.1,83.5,82.1,84.7,84.1,78.1,18.0,90.6,13.7,21.2,62.8,7.3,14.5,2021
607,530907010260001,Mackinaw,Tazewell,MEDIUM,310,95.5,20.6,176.0,5.6,1.3,1.2,1.3,0.0,98.8,100.0,97.6,98.8,100.0,16.5,89.0,8.8,18.1,68.8,18.3,34.4,2021
608,530907020260001,Tremont,Tazewell,MEDIUM,330,90.9,14.5,176.0,5.3,1.5,1.8,1.3,4.5,91.6,92.9,90.2,91.7,90.9,15.6,88.4,25.4,42.6,78.9,19.7,35.2,2021
609,530907030260001,Delavan,Tazewell,SMALL,132,93.2,25.0,176.0,3.9,5.8,3.2,7.9,10.0,86.1,100.0,75.0,84.8,64.3,13.7,79.5,3.6,7.3,65.6,15.6,31.3,2021
610,530907090260006,Morton,Tazewell,LARGE,1009,90.7,17.4,176.0,5.5,0.9,0.6,1.2,1.4,96.7,98.1,95.5,96.4,88.2,19.1,89.1,28.3,46.1,87.8,18.7,45.7,2021
611,531020060260001,Minonk,Woodford,MEDIUM,308,84.1,42.9,176.0,8.2,3.2,2.4,4.2,5.8,87.6,90.7,82.9,86.5,70.8,16.7,92.1,37.3,51.7,56.1,3.7,15.9,2021
612,531020110260001,El Paso,Woodford,MEDIUM,359,89.1,35.4,176.0,6.9,1.6,2.1,1.1,1.5,84.5,82.5,86.4,87.5,84.6,14.6,88.5,37.7,58.6,78.1,12.2,30.5,2021
613,531020210260001,Washburn,Woodford,SMALL,139,91.4,50.4,176.0,17.3,6.7,7.8,5.1,10.4,80.6,78.9,83.3,80.8,68.8,11.5,80.0,9.0,10.7,33.3,4.8,4.8,2021
614,531020600260001,Roanoke,Woodford,MEDIUM,139,94.2,18.7,176.0,9.3,2.8,5.4,0.0,6.5,84.1,83.3,85.0,83.7,70.0,10.8,95.1,16.0,37.5,63.6,13.6,25.0,2021
615,531021220170001,Metamora,Woodford,MEDIUM,916,90.4,18.0,176.0,3.5,1.5,1.1,1.9,5.3,94.4,93.3,95.4,94.4,71.4,16.9,91.6,26.7,42.6,75.9,16.3,39.7,2021
616,531021400260001,Eureka,Woodford,MEDIUM,450,94.4,20.4,176.0,7.1,1.6,2.1,1.0,1.1,94.4,93.7,95.2,94.9,91.3,16.4,92.6,9.6,27.4,73.0,22.6,35.7,2021
617,540920020260004,Westville,Vermilion,MEDIUM,374,87.4,60.4,176.0,8.4,5.1,6.5,3.6,5.9,84.8,88.6,81.3,85.2,80.0,18.0,87.7,0.3,0.4,37.1,2.3,6.7,2021
618,540920040260004,Georgetown,Vermilion,MEDIUM,252,84.9,62.7,176.0,11.2,4.0,4.7,3.3,5.7,83.1,78.0,91.7,83.0,73.7,13.0,86.4,30.5,39.2,47.3,8.1,18.9,2021
619,540920110260005,Hoopeston,Vermilion,MEDIUM,325,78.5,46.8,176.0,12.8,2.0,0.7,3.3,9.2,100.0,100.0,100.0,100.0,100.0,13.8,85.9,28.1,63.3,53.2,6.5,22.6,2021
620,540920760260001,Fithian,Vermilion,MEDIUM,303,89.1,42.9,176.0,7.0,3.7,6.2,0.7,5.0,85.2,79.1,92.1,85.5,76.7,17.1,80.0,65.7,76.7,67.2,4.5,17.9,2021
621,540921180240022,Danville,Vermilion,LARGE,1328,39.5,64.2,176.0,8.7,7.2,7.8,6.7,8.8,61.0,54.2,68.0,65.2,50.4,14.4,86.6,6.7,8.0,48.0,5.4,15.8,2021
622,540922250170001,Armstrong,Vermilion,SMALL,137,92.0,38.0,176.0,8.0,5.1,6.2,4.2,8.5,80.0,81.8,78.9,79.3,54.5,10.2,82.4,28.6,44.9,60.0,7.5,15.0,2021
623,540925120260001,Catlin,Vermilion,MEDIUM,251,93.2,42.2,176.0,6.2,2.5,2.3,2.6,2.9,90.9,87.1,94.3,93.3,78.3,15.4,88.9,9.3,7.9,65.8,2.6,19.7,2021
624,540928000800001,Bismarck,Vermilion,,355,89.3,34.6,,7.7,1.7,2.6,0.6,1.8,86.7,89.3,82.4,86.9,75.9,17.1,44.2,25.2,43.2,,,,2021
625,56099200U260001,Beecher,Will,MEDIUM,347,75.8,25.9,176.0,3.0,2.2,3.3,1.1,3.3,94.2,90.7,97.7,93.8,95.7,17.7,86.8,4.2,6.6,72.4,26.3,44.7,2021
626,56099201U260001,Crete,Will,LARGE,1417,15.3,67.1,176.0,5.3,1.5,1.8,1.2,1.2,90.6,88.7,92.9,87.5,89.6,22.8,82.9,43.2,43.5,61.1,14.1,40.2,2021
627,560992020220001,Plainfield,Will,LARGE,2054,55.1,34.2,177.0,5.9,1.4,1.8,0.8,2.5,91.7,89.6,94.0,93.0,84.2,25.7,92.2,1.8,3.4,72.3,22.2,41.1,2021
628,560992020220002,Plainfield,Will,LARGE,2353,49.5,34.4,177.0,5.4,2.2,2.3,2.2,4.4,89.3,86.9,91.5,88.8,83.5,25.1,92.1,2.7,4.2,69.8,18.3,38.8,2021
629,560992020220003,Plainfield,Will,LARGE,2320,64.9,16.9,177.0,3.7,1.4,1.6,1.2,2.5,92.8,90.9,94.9,94.4,83.9,26.6,92.9,1.4,3.3,83.4,23.0,57.1,2021
630,560992020220004,Plainfield,Will,LARGE,2081,40.2,32.4,177.0,4.2,2.0,1.8,2.2,3.0,94.9,93.4,96.4,95.8,91.7,24.7,90.0,1.7,2.9,78.8,22.1,45.9,2021
