,schoolcode,totalenroll,whiteenroll,blackenroll,hispanicenroll,lowincomeenroll,attendance,mobility,dropout,graduation,classsize,retention,year,School Mode Score,Charter,DistrictName,SchoolName,SchoolType,EnrollmentTotal
45,120130100260002,73.0,97.3,0.0,0.0,60.3,94.7,10.0,3.1,68.8,15.5,75.0,2021,0.0,No,Clay City CUSD 10,Clay City High School,Regular school,73
46,120130100260002,51.0,94.1,3.9,2.0,58.8,93.8,14.3,9.4,0.0,13.6,83.3,2019,0.0,No,Clay City CUSD 10,Clay City High School,Regular school,73
47,120130100260002,57.0,93.0,0.0,0.0,45.6,94.7,7.0,0.0,93.3,11.0,61.5,2018,0.0,No,Clay City CUSD 10,Clay City High School,Regular school,73
48,120130250260001,181.0,94.5,0.0,0.0,44.8,92.2,7.3,4.7,69.1,17.0,92.1,2021,0.0,No,North Clay CUSD 25,North Clay Community High School,Regular school,181
49,120130250260001,191.0,97.4,0.0,0.5,40.8,96.9,16.6,9.3,70.9,16.9,91.9,2019,0.0,No,North Clay CUSD 25,North Clay Community High School,Regular school,181
50,120130250260001,196.0,98.0,0.0,0.0,40.3,94.3,12.3,3.6,70.8,11.0,97.3,2018,0.0,No,North Clay CUSD 25,North Clay Community High School,Regular school,181
51,120130350260001,383.0,92.2,0.0,2.9,50.4,94.6,12.8,3.8,81.0,19.4,95.8,2021,0.0909090909090909,No,Flora CUSD 35,Flora High School,Regular school,383
52,120130350260001,352.0,93.2,0.0,2.0,40.1,94.7,15.8,6.9,81.8,17.6,93.5,2019,0.0909090909090909,No,Flora CUSD 35,Flora High School,Regular school,383
53,120130350260001,358.0,93.3,0.0,0.0,43.9,94.7,9.4,2.5,89.1,20.0,96.1,2018,0.0909090909090909,No,Flora CUSD 35,Flora High School,Regular school,383
54,120170010260001,103.0,89.3,0.0,0.0,40.8,95.6,9.5,1.0,100.0,8.9,62.1,2021,0.1363636363636363,No,Hutsonville CUSD 1,Hutsonville High School,Regular school,104
55,120170010260001,108.0,91.7,0.0,1.9,47.2,96.4,2.5,3.6,93.1,12.1,69.0,2019,0.1363636363636363,No,Hutsonville CUSD 1,Hutsonville High School,Regular school,104
56,120170010260001,103.0,97.1,0.0,0.0,46.6,94.8,5.8,0.0,83.3,13.0,66.7,2018,0.1363636363636363,No,Hutsonville CUSD 1,Hutsonville High School,Regular school,104
57,120170020260001,493.0,90.7,2.0,3.0,39.6,93.2,7.0,3.7,93.1,19.6,90.4,2021,0.0,No,Robinson CUSD 2,Robinson High School,Regular school,494
58,120170020260001,460.0,90.9,1.1,3.7,38.3,94.9,5.9,2.3,90.3,19.8,91.6,2019,0.0,No,Robinson CUSD 2,Robinson High School,Regular school,494
59,120170020260001,449.0,91.1,0.0,3.3,38.3,93.8,6.1,2.2,91.2,20.0,91.5,2018,0.0,No,Robinson CUSD 2,Robinson High School,Regular school,494
60,120170030260001,85.0,97.6,0.0,0.0,41.2,86.9,11.0,5.9,83.3,9.1,90.9,2021,0.0454545454545454,No,Palestine CUSD 3,Palestine High School,Regular school,84
61,120170030260001,85.0,100.0,0.0,0.0,40.0,93.3,11.5,3.3,92.3,10.4,95.7,2019,0.0454545454545454,No,Palestine CUSD 3,Palestine High School,Regular school,84
62,120170030260001,90.0,100.0,0.0,0.0,31.1,93.5,5.4,1.1,90.9,8.0,100.0,2018,0.0454545454545454,No,Palestine CUSD 3,Palestine High School,Regular school,84
63,120170040260001,190.0,95.3,0.0,0.0,47.9,96.8,11.0,6.9,84.3,14.5,86.7,2021,0.0454545454545454,No,Oblong CUSD 4,Oblong High School,Regular school,184
64,120170040260001,173.0,95.4,0.6,1.7,40.5,94.0,10.6,5.6,78.3,14.3,88.1,2019,0.0454545454545454,No,Oblong CUSD 4,Oblong High School,Regular school,184
65,120170040260001,191.0,93.2,0.0,0.0,35.6,91.2,8.7,2.6,83.6,26.0,83.3,2018,0.0454545454545454,No,Oblong CUSD 4,Oblong High School,Regular school,184
66,120400010260001,415.0,97.8,0.0,0.0,35.2,92.4,12.2,2.7,90.0,21.8,88.0,2021,0.0,No,Jasper County CUD 1,Newton Comm High School,Regular school,415
67,120400010260001,453.0,97.6,0.0,1.3,36.6,92.8,7.4,2.7,92.9,23.9,88.6,2019,0.0,No,Jasper County CUD 1,Newton Comm High School,Regular school,415
68,120400010260001,456.0,97.8,0.0,0.0,34.2,92.7,6.0,0.4,93.0,22.0,89.7,2018,0.0,No,Jasper County CUD 1,Newton Comm High School,Regular school,415
69,120510200260008,322.0,92.5,0.0,4.0,57.8,92.1,11.4,6.1,67.4,14.5,93.6,2021,0.1818181818181818,No,Lawrence County CUD 20,Lawrenceville High School,Regular school,322
70,120510200260008,319.0,94.0,0.3,2.5,48.0,97.5,10.2,6.5,79.0,18.3,92.9,2019,0.1818181818181818,No,Lawrence County CUD 20,Lawrenceville High School,Regular school,322
71,120510200260008,300.0,94.0,0.0,0.0,54.3,92.1,10.2,4.3,75.2,16.0,92.9,2018,0.1818181818181818,No,Lawrence County CUD 20,Lawrenceville High School,Regular school,322
72,120800010260001,722.0,89.1,0.0,5.4,41.8,91.6,13.6,4.8,85.5,23.0,95.7,2021,0.3181818181818182,No,Richland County CUSD 1,Richland County High School,Regular school,722
73,120800010260001,721.0,91.5,0.4,3.7,41.2,95.8,11.9,5.4,81.1,23.7,96.3,2019,0.3181818181818182,No,Richland County CUSD 1,Richland County High School,Regular school,722
74,120800010260001,742.0,92.3,0.0,3.5,44.7,91.3,9.8,2.0,91.7,18.0,96.9,2018,0.3181818181818182,No,Richland County CUSD 1,Richland County High School,Regular school,722
75,130140010260001,300.0,92.0,3.3,0.0,37.3,90.2,11.5,5.2,88.5,15.2,92.9,2021,0.0454545454545454,No,Carlyle CUSD 1,Carlyle High School,Regular school,300
76,130140010260001,307.0,91.2,2.0,1.3,38.8,95.1,12.7,7.7,83.9,15.0,89.2,2019,0.0454545454545454,No,Carlyle CUSD 1,Carlyle High School,Regular school,300
77,130140010260001,321.0,91.3,0.0,0.0,34.3,95.0,8.8,0.6,80.5,16.0,88.8,2018,0.0454545454545454,No,Carlyle CUSD 1,Carlyle High School,Regular school,300
78,130140030260006,385.0,88.8,0.0,6.5,31.4,92.0,4.9,1.8,88.6,14.7,98.6,2021,0.0,No,Wesclin CUSD 3,Wesclin Sr High School,Regular school,385
79,130140030260006,379.0,89.4,0.5,5.8,25.3,95.3,7.0,5.1,90.7,20.7,95.8,2019,0.0,No,Wesclin CUSD 3,Wesclin Sr High School,Regular school,385
80,130140030260006,377.0,89.7,0.0,5.6,26.8,95.4,3.9,0.8,86.0,19.0,94.4,2018,0.0,No,Wesclin CUSD 3,Wesclin Sr High School,Regular school,385
81,130140710160001,625.0,95.0,0.0,4.2,18.4,95.2,3.7,1.4,90.0,22.3,95.6,2021,0.0,No,Central CHSD 71,Central Comm High School,Regular school,633
82,130140710160001,600.0,98.0,0.0,1.8,19.0,95.9,4.4,2.4,89.1,21.9,96.4,2019,0.0,No,Central CHSD 71,Central Comm High School,Regular school,633
83,130140710160001,592.0,96.6,0.0,3.2,23.0,95.5,5.2,1.2,90.1,19.0,94.6,2018,0.0,No,Central CHSD 71,Central Comm High School,Regular school,633
84,130410010260001,102.0,97.1,0.0,0.0,45.1,94.5,7.0,2.9,85.7,14.0,90.5,2021,0.3181818181818182,No,Waltonville CUSD 1,Waltonville High School,Regular school,102
85,130410010260001,111.0,97.3,1.8,0.0,31.5,95.1,7.6,6.1,87.5,14.0,72.0,2019,0.3181818181818182,No,Waltonville CUSD 1,Waltonville High School,Regular school,102
86,130410010260001,101.0,98.0,0.0,0.0,30.7,94.0,2.9,1.0,88.9,10.0,75.0,2018,0.3181818181818182,No,Waltonville CUSD 1,Waltonville High School,Regular school,102
87,130412010170001,1155.0,73.9,11.5,4.8,52.6,89.9,13.7,2.7,87.7,21.1,90.2,2021,0.4545454545454545,No,Mt Vernon Twp HSD 201,Mount Vernon High School,Regular school,1096
88,130412010170001,1156.0,74.8,12.5,4.0,56.2,92.5,11.5,4.7,82.4,24.2,82.3,2019,0.4545454545454545,No,Mt Vernon Twp HSD 201,Mount Vernon High School,Regular school,1096
