,schoolcode,schoolname,districtname,mathpass,totaltested,percenttotaltested,male,female,white,black,hispanic,asian,disability,lowincome,year,schoolmode,SchoolType,EnrollmentTotal
55,120170020260001,Robinson High School,Robinson CUSD 2,0.171,105.0,1.0,0.419047619047619,0.580952380952381,0.9428571428571428,0.0,0.0,0.0,0.1619047619047619,0.3714285714285714,2019,0.0,Regular school,494
56,120170020260001,Robinson High School,Robinson CUSD 2,0.317,101.0,1.0,0.4851485148514851,0.5148514851485149,0.8811881188118812,0.0,0.0,0.0,0.1188118811881188,0.3168316831683168,2018,0.0,Regular school,494
57,120170030260001,Palestine High School,Palestine CUSD 3,0.278,18.0,1.0,0.0,0.6111111111111112,1.0,0.0,0.0,0.0,0.0,0.0,2021,0.0454545454545454,Regular school,84
58,120170030260001,Palestine High School,Palestine CUSD 3,0.33299999999999996,21.0,1.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019,0.0454545454545454,Regular school,84
59,120170030260001,Palestine High School,Palestine CUSD 3,0.24,25.0,0.9620000000000001,0.4,0.6,1.0,0.0,0.0,0.0,0.0,0.0,2018,0.0454545454545454,Regular school,84
60,120170040260001,Oblong High School,Oblong CUSD 4,0.16699999999999998,42.0,0.9129999999999999,0.6428571428571429,0.3571428571428571,1.0,0.0,0.0,0.0,0.0,0.4761904761904761,2021,0.0454545454545454,Regular school,184
61,120170040260001,Oblong High School,Oblong CUSD 4,0.244,41.0,0.976,0.3658536585365853,0.6341463414634146,0.951219512195122,0.0,0.0,0.0,0.0,0.3658536585365853,2019,0.0454545454545454,Regular school,184
62,120170040260001,Oblong High School,Oblong CUSD 4,0.257,35.0,1.0,0.3142857142857143,0.6857142857142857,0.9428571428571428,0.0,0.0,0.0,0.0,0.3714285714285714,2018,0.0454545454545454,Regular school,184
63,120400010260001,Newton Comm High School,Jasper County CUD 1,0.228,101.0,0.99,0.4356435643564356,0.5643564356435643,0.9603960396039604,0.0,0.0,0.0,0.0,0.3564356435643564,2021,0.0,Regular school,415
64,120400010260001,Newton Comm High School,Jasper County CUD 1,0.22,118.0,0.983,0.4661016949152542,0.5338983050847458,0.9661016949152542,0.0,0.0,0.0,0.0,0.3389830508474576,2019,0.0,Regular school,415
65,120400010260001,Newton Comm High School,Jasper County CUD 1,0.278,108.0,1.0,0.4351851851851852,0.5648148148148148,0.9722222222222222,0.0,0.0,0.0,0.0,0.3981481481481481,2018,0.0,Regular school,415
66,120510200260008,Lawrenceville High School,Lawrence County CUD 20,0.138,80.0,0.976,0.5375,0.4625,0.9375,0.0,0.0,0.0,0.225,0.45,2021,0.1818181818181818,Regular school,322
67,120510200260008,Lawrenceville High School,Lawrence County CUD 20,0.139,72.0,0.973,0.5416666666666666,0.4583333333333333,0.9027777777777778,0.0,0.0,0.0,0.0,0.5,2019,0.1818181818181818,Regular school,322
