,RCDTS,City,County,District Size,Total Number of School Days,Student Mobility Rate,High School Dropout Rate - Total,High School Dropout Rate - Male,High School Dropout Rate - Female,High School Dropout Rate - Low Income,High School 4-Year Graduation Rate - Total,High School 4-Year Graduation Rate - Male,High School 4-Year Graduation Rate - Female,High School 4-Year Graduation Rate - White,High School 4-Year Graduation Rate - Low Income,Avg Class Size - High School,Teacher Retention Rate,Chronic Absenteeism,Chronic Absenteeism - Low Income,Year
46,041012050250003,Rockford,Winnebago,LARGE,176.0,19.5,5.9,7.3,4.3,8.5,75.0,71.4,78.8,81.9,61.4,18.2,88.7,46.7,60.6,2021
47,041012050250004,Rockford,Winnebago,LARGE,176.0,19.6,9.7,10.3,9.0,11.2,63.6,54.8,73.0,57.6,56.5,18.7,87.4,57.8,63.1,2021
48,041012050253075,Rockford,Winnebago,LARGE,176.0,77.9,,,,,,,,,,5.0,85.0,,,2021
49,041012070160001,Rockton,Winnebago,MEDIUM,176.0,10.0,1.1,1.4,0.8,2.9,91.8,88.1,95.8,91.9,85.1,12.6,95.0,11.5,23.7,2021
50,041013200260001,South Beloit,Winnebago,MEDIUM,176.0,10.6,5.8,5.1,6.4,5.7,88.9,83.3,93.9,94.1,82.4,15.8,90.0,38.5,46.3,2021
51,041013210260001,Pecatonica,Winnebago,MEDIUM,176.0,8.2,2.8,2.7,2.9,4.1,91.6,85.7,97.6,91.7,80.0,15.8,91.8,17.0,30.3,2021
52,041013220260001,Durand,Winnebago,MEDIUM,177.0,3.4,3.7,4.1,3.2,9.6,91.1,95.0,88.0,91.1,70.0,13.5,92.5,22.3,35.4,2021
53,041013230260001,Winnebago,Winnebago,MEDIUM,176.0,5.6,5.1,5.6,4.7,5.6,84.9,79.0,91.2,86.9,78.9,15.3,93.3,37.6,55.6,2021
54,050162020170001,Evanston,Cook,MEDIUM,181.0,5.0,1.4,1.8,1.0,2.2,94.1,92.0,96.5,96.3,88.1,15.5,93.6,8.3,17.0,2021
55,050162030170001,Winnetka,Cook,LARGE,178.0,2.2,0.3,0.2,0.5,0.0,97.9,97.6,98.2,98.0,100.0,21.2,95.1,24.1,38.3,2021
56,050162030170002,Northfield,Cook,LARGE,178.0,0.9,0.7,0.8,0.6,4.3,,,,,,22.4,92.0,3.2,9.5,2021
