,schoolcode,year,charter,elapass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
86,90301060006,2019,0.0,85,0.0,0.0,0.0,163,42.944785276073624,96.93251533742331,0.6134969325153374,1.2269938650306749,0.6134969325153374
87,90501040002,2019,0.0,94,0.0,0.0,0.0,104,33.65384615384615,96.15384615384616,1.9230769230769231,0.0,1.9230769230769231
88,90601020002,2019,0.0,97,0.0,0.0,0.0,36,22.22222222222222,100.0,0.0,0.0,0.0
89,90901040002,2019,0.0,100,0.0,0.0,0.0,64,45.3125,100.0,0.0,0.0,0.0
90,91101060005,2019,0.0,88,0.0,0.0,0.0,161,41.61490683229814,93.16770186335404,2.484472049689441,0.0,3.1055900621118013
91,91200010006,2019,0.0,88,0.0,0.0,0.0,143,44.75524475524475,86.01398601398601,9.090909090909092,1.3986013986013985,3.4965034965034967
92,91402060005,2019,0.0,93,0.0,0.0,0.0,103,36.89320388349515,95.14563106796116,1.9417475728155338,0.9708737864077669,0.9708737864077669
93,100501040003,2019,0.0,83,0.0,0.0,0.0,95,54.736842105263165,85.26315789473684,1.0526315789473684,11.578947368421053,0.0
94,100902040004,2019,0.0,86,0.0,0.0,0.0,43,48.837209302325576,81.3953488372093,0.0,6.976744186046512,2.3255813953488373
95,101001040002,2019,0.0,93,0.0,0.0,0.0,70,28.57142857142857,85.71428571428571,1.4285714285714286,7.142857142857142,1.4285714285714286
96,101300010001,2019,0.0,85,0.0,0.0,0.0,128,71.09375,35.15625,28.90625,11.71875,23.4375
97,101401040005,2019,0.0,94,0.0,0.0,0.0,137,22.62773722627737,88.32116788321169,4.37956204379562,5.839416058394161,1.4598540145985401
98,101601040003,2019,0.0,86,0.0,0.0,0.0,42,42.857142857142854,95.23809523809523,0.0,0.0,0.0
99,110101040002,2019,0.0,85,0.0,0.0,0.0,33,45.45454545454545,100.0,0.0,0.0,0.0
100,110200010011,2019,0.0,83,0.0,0.0,0.0,193,51.813471502590666,88.60103626943005,4.145077720207254,3.6269430051813467,1.0362694300518136
101,110304040002,2019,0.0,79,0.0,0.0,0.0,38,52.63157894736842,97.36842105263158,0.0,0.0,2.631578947368421
102,110701060001,2019,0.0,89,0.0,0.0,0.0,161,41.61490683229814,93.16770186335404,0.6211180124223602,0.6211180124223602,0.6211180124223602
103,110901040001,2019,0.0,90,0.0,0.0,0.0,63,57.14285714285714,95.23809523809523,0.0,3.1746031746031744,1.5873015873015872
104,120301040001,2019,0.0,100,0.0,0.0,0.0,14,50.0,92.85714285714286,0.0,7.142857142857142,0.0
105,120102040001,2019,0.0,80,0.0,0.0,0.0,10,60.0,90.0,0.0,0.0,0.0
106,120401040001,2019,0.0,83,0.0,0.0,0.0,30,40.0,96.66666666666667,0.0,3.3333333333333335,0.0
107,120501040002,2019,0.0,98,0.0,0.0,0.0,52,32.69230769230769,96.15384615384616,0.0,0.0,3.8461538461538463
108,120701040001,2019,0.0,95,0.0,0.0,0.0,19,57.89473684210527,94.73684210526315,0.0,0.0,5.263157894736842
109,120906040002,2019,0.0,79,0.0,0.0,0.0,34,44.11764705882353,97.05882352941177,0.0,2.941176470588235,0.0
110,121401040001,2019,0.0,94,0.0,0.0,0.0,18,55.55555555555556,94.44444444444444,5.555555555555555,0.0,0.0
111,121502040001,2019,0.0,100,0.0,0.0,0.0,12,41.66666666666667,100.0,0.0,0.0,0.0
112,121601060006,2019,0.0,85,0.0,0.0,0.0,85,43.529411764705884,87.05882352941177,1.1764705882352942,5.88235294117647,3.5294117647058822
113,121701040001,2019,0.0,89,0.0,0.0,0.0,19,63.1578947368421,94.73684210526315,0.0,0.0,5.263157894736842
114,121702040001,2019,0.0,97,0.0,0.0,0.0,37,45.94594594594595,86.48648648648648,5.405405405405405,2.7027027027027026,2.7027027027027026
115,121901040002,2019,0.0,83,0.0,0.0,0.0,72,40.27777777777778,94.44444444444444,0.0,5.555555555555555,0.0
116,130200010005,2019,0.0,84,0.0,0.0,0.0,258,45.73643410852713,39.922480620155035,24.031007751937985,30.23255813953488,1.1627906976744187
117,130502020003,2019,0.0,84,0.0,0.0,0.0,117,52.991452991452995,68.37606837606837,5.128205128205128,23.076923076923077,3.418803418803419
118,130801060007,2019,0.0,87,0.0,0.0,0.0,285,49.122807017543856,61.75438596491228,17.543859649122805,14.385964912280702,2.456140350877193
119,131101040004,2019,0.0,77,0.0,0.0,0.0,57,52.63157894736842,75.43859649122807,1.7543859649122806,21.052631578947366,1.7543859649122806
120,131201040002,2019,0.0,99,0.0,0.0,0.0,96,19.791666666666664,82.29166666666666,1.0416666666666665,9.375,3.125
121,131301040002,2019,0.0,95,0.0,0.0,0.0,81,28.39506172839506,82.71604938271605,2.4691358024691357,11.11111111111111,1.2345679012345678
122,131500010010,2019,0.0,68,0.0,0.0,0.0,350,71.14285714285714,7.428571428571429,56.85714285714286,32.857142857142854,1.1428571428571428
123,131601060008,2019,0.0,93,0.0,0.0,0.0,770,22.857142857142858,71.42857142857143,8.051948051948052,14.285714285714285,4.415584415584416
124,131602020005,2019,0.0,98,0.0,0.0,0.0,104,29.807692307692307,58.65384615384615,10.576923076923077,12.5,17.307692307692307
