,schoolcode,year,mathpass,totaltested,percenttotaltested,white,black,hispanic,disability,lowincome,classsize,schoolmode
125,150162990250012,2018,0.017,58.0,1.0,0.0,0.9827586206896552,0.0,0.1724137931034483,0.9827586206896552,24.0,0.0
126,150162990250013,2021,0.04,125.0,0.772,0.0,0.16,0.8,0.32,0.912,22.6,0.7272727272727272
127,150162990250013,2019,0.023,217.0,0.935,0.0,0.1981566820276497,0.7649769585253456,0.2396313364055299,0.935483870967742,28.6,0.0
128,150162990250013,2018,0.0579999999999999,173.0,0.989,0.0,0.1907514450867052,0.7630057803468208,0.1965317919075144,0.9595375722543352,21.0,0.0
129,150162990250014,2021,0.215,261.0,0.974,0.0,0.0,0.9195402298850576,0.10727969348659,0.8850574712643678,25.1,0.7727272727272727
130,150162990250014,2019,0.278,270.0,1.0,0.0,0.0,0.9407407407407408,0.0851851851851851,0.9296296296296296,25.4,0.0
131,150162990250014,2018,0.316,244.0,1.0,0.0,0.0,0.9057377049180328,0.081967213114754,0.9672131147540984,25.0,0.0
132,150162990250015,2021,0.009,108.0,0.5710000000000001,0.0,0.3333333333333333,0.6388888888888888,0.2592592592592592,0.9074074074074074,19.3,0.7727272727272727
133,150162990250015,2019,0.019,131.0,0.784,0.0,0.4274809160305343,0.549618320610687,0.1984732824427481,0.9541984732824428,26.1,0.0
134,150162990250015,2018,0.0,62.0,0.984,0.0,0.3709677419354839,0.6129032258064516,0.2258064516129032,0.9838709677419356,16.0,0.0
135,150162990250016,2021,0.024,87.0,0.77,0.0,0.9655172413793104,0.0,0.2988505747126437,0.8620689655172413,26.5,0.7727272727272727
136,150162990250016,2019,0.015,116.0,0.8170000000000001,0.0,0.9913793103448276,0.0,0.3620689655172414,0.896551724137931,26.6,0.0
137,150162990250016,2018,0.0139999999999999,73.0,1.0,0.0,0.958904109589041,0.0,0.1780821917808219,0.958904109589041,18.0,0.0
138,150162990250019,2021,0.033,30.0,0.417,0.0,1.0,0.0,0.4666666666666667,0.8666666666666667,16.3,0.7727272727272727
139,150162990250019,2019,0.0,52.0,0.591,0.0,0.9807692307692308,0.0,0.3461538461538461,0.9230769230769232,25.2,0.0
140,150162990250019,2018,0.0289999999999999,35.0,1.0,0.0,1.0,0.0,0.3142857142857143,0.9428571428571428,15.0,0.0
141,150162990250020,2021,0.0559999999999999,425.0,0.893,0.0,0.0564705882352941,0.9176470588235294,0.1858823529411764,0.8847058823529412,28.8,0.7727272727272727
142,150162990250020,2019,0.107,410.0,0.926,0.0268292682926829,0.0634146341463414,0.8975609756097561,0.1292682926829268,0.9560975609756096,29.3,0.0
143,150162990250020,2018,0.125,464.0,0.994,0.0,0.0646551724137931,0.9116379310344828,0.1400862068965517,0.9525862068965516,26.0,0.0
144,150162990250021,2021,0.0,170.0,0.872,0.0,0.9941176470588236,0.0,0.2117647058823529,0.9647058823529412,22.0,0.7727272727272727
145,150162990250021,2019,0.0279999999999999,168.0,0.884,0.0,0.9761904761904762,0.0,0.2202380952380952,0.9464285714285714,25.9,0.0
146,150162990250021,2018,0.021,192.0,0.995,0.0,0.9895833333333334,0.0,0.2083333333333333,0.9895833333333334,21.0,0.0
147,150162990250022,2021,0.104,422.0,0.81,0.0236966824644549,0.0355450236966824,0.7654028436018957,0.1919431279620853,0.9312796208530806,24.8,0.7727272727272727
148,150162990250022,2019,0.125,486.0,0.933,0.0,0.037037037037037,0.8127572016460906,0.2181069958847736,0.9300411522633744,29.1,0.0
149,150162990250022,2018,0.156,488.0,0.968,0.0204918032786885,0.0491803278688524,0.7848360655737705,0.1352459016393442,0.9487704918032788,24.0,0.0
150,150162990250024,2021,0.13,331.0,0.8420000000000001,0.1903323262839879,0.0,0.7613293051359517,0.2054380664652568,0.6132930513595166,25.1,0.7727272727272727
151,150162990250024,2019,0.201,401.0,0.944,0.1970074812967581,0.0299251870324189,0.7456359102244389,0.1645885286783042,0.6309226932668329,28.1,0.0
152,150162990250024,2018,0.1939999999999999,387.0,0.992,0.2480620155038759,0.0439276485788113,0.6873385012919897,0.1782945736434108,0.7596899224806202,25.0,0.0
153,150162990250026,2021,0.091,308.0,0.917,0.1168831168831168,0.1363636363636363,0.685064935064935,0.2207792207792207,0.7532467532467533,26.7,0.7727272727272727
154,150162990250026,2019,0.1639999999999999,347.0,0.975,0.1440922190201729,0.0749279538904899,0.7031700288184438,0.2305475504322766,0.7348703170028819,27.1,0.0
155,150162990250026,2018,0.195,307.0,0.978,0.1530944625407166,0.1074918566775244,0.6742671009771987,0.1335504885993485,0.8045602605863192,28.0,0.0
156,150162990250029,2021,0.0139999999999999,71.0,0.7979999999999999,0.0,0.971830985915493,0.0,0.2253521126760563,0.9577464788732394,21.4,0.7727272727272727
157,150162990250029,2019,0.009,84.0,0.7120000000000001,0.0,0.9523809523809524,0.0,0.4404761904761904,0.9523809523809524,24.8,0.0
158,150162990250029,2018,0.013,80.0,1.0,0.0,1.0,0.0,0.25,0.975,20.0,0.0
159,150162990250030,2021,0.129,395.0,0.835,0.1189873417721519,0.1544303797468354,0.4455696202531645,0.2151898734177215,0.830379746835443,24.6,0.7272727272727272
160,150162990250030,2019,0.208,336.0,0.921,0.175595238095238,0.1458333333333333,0.3601190476190476,0.1934523809523809,0.8601190476190477,24.9,0.0
161,150162990250030,2018,0.244,356.0,0.978,0.2247191011235955,0.0898876404494382,0.351123595505618,0.0786516853932584,0.8792134831460674,24.0,0.0
162,150162990250034,2021,0.023,171.0,0.763,0.0,0.95906432748538,0.0,0.1812865497076023,0.9298245614035088,27.7,0.7727272727272727
163,150162990250034,2019,0.026,217.0,0.879,0.0,0.9539170506912442,0.0,0.2626728110599078,0.9308755760368664,31.3,0.0
164,150162990250034,2018,0.075,134.0,1.0,0.0,0.9776119402985076,0.0,0.1791044776119403,0.9328358208955224,20.0,0.0
165,150162990250036,2021,0.057,331.0,0.892,0.0604229607250755,0.0966767371601208,0.7915407854984894,0.2356495468277945,0.8610271903323263,27.6,0.7727272727272727
166,150162990250036,2019,0.1,365.0,0.915,0.0821917808219178,0.1095890410958904,0.7780821917808219,0.2547945205479452,0.863013698630137,27.3,0.0
167,150162990250036,2018,0.071,336.0,0.966,0.056547619047619,0.0982142857142857,0.8095238095238095,0.1696428571428571,0.9047619047619048,25.0,0.0
168,150162990250037,2021,0.168,341.0,0.902,0.1173020527859237,0.2727272727272727,0.4046920821114369,0.2170087976539589,0.7741935483870968,24.9,0.7272727272727272
169,150162990250037,2019,0.286,346.0,0.98,0.1416184971098266,0.1994219653179191,0.453757225433526,0.1849710982658959,0.791907514450867,24.9,0.0
170,150162990250037,2018,0.244,303.0,1.0,0.0594059405940594,0.3036303630363036,0.3531353135313531,0.1518151815181518,0.8514851485148515,22.0,0.0
171,150162990250039,2021,0.143,112.0,0.926,0.0,0.9464285714285714,0.0,0.0,0.6696428571428571,25.7,0.6818181818181819
172,150162990250039,2019,0.262,103.0,1.0,0.0,0.970873786407767,0.0,0.0,0.7669902912621359,20.5,0.0
173,150162990250039,2018,0.288,156.0,1.0,0.0,0.9423076923076924,0.0,0.0833333333333333,0.8269230769230769,22.0,0.0
174,150162990250041,2021,0.0409999999999999,340.0,0.8590000000000001,0.0735294117647058,0.1735294117647058,0.6970588235294117,0.2941176470588235,0.8147058823529412,27.7,0.7727272727272727
175,150162990250041,2019,0.072,340.0,0.934,0.1147058823529411,0.1205882352941176,0.7264705882352941,0.2676470588235294,0.8205882352941176,28.9,0.0
176,150162990250041,2018,0.094,244.0,0.996,0.110655737704918,0.1311475409836065,0.7131147540983607,0.180327868852459,0.9057377049180328,23.0,0.0
177,150162990250042,2021,0.092,65.0,0.461,0.0,0.4461538461538462,0.3846153846153846,0.0,0.8769230769230769,22.9,0.7727272727272727
178,150162990250042,2019,0.1,189.0,0.94,0.0687830687830687,0.4232804232804232,0.3068783068783068,0.2222222222222222,0.9153439153439152,23.6,0.0
179,150162990250042,2018,0.0409999999999999,145.0,0.993,0.0,0.4482758620689655,0.3517241379310344,0.2275862068965517,0.9172413793103448,19.0,0.0
180,150162990250044,2021,0.043,47.0,0.603,0.0,0.3617021276595745,0.5319148936170213,0.2340425531914893,0.8936170212765957,18.9,0.6818181818181819
181,150162990250044,2019,0.011,76.0,0.8170000000000001,0.0,0.5394736842105263,0.3947368421052631,0.4078947368421052,0.9342105263157896,21.4,0.0
182,150162990250044,2018,0.062,65.0,1.0,0.0,0.6307692307692307,0.1692307692307692,0.2923076923076923,0.8923076923076924,17.0,0.0
183,150162990250046,2021,0.391,404.0,0.935,0.1683168316831683,0.0767326732673267,0.5668316831683168,0.141089108910891,0.6287128712871287,28.0,0.7272727272727272
184,150162990250046,2019,0.504,454.0,0.991,0.171806167400881,0.0947136563876652,0.5550660792951542,0.1167400881057268,0.6563876651982379,29.7,0.0
185,150162990250046,2018,0.408,409.0,0.988,0.1442542787286063,0.0904645476772616,0.6332518337408313,0.0268948655256723,0.7677261613691931,27.0,0.0
186,150162990250047,2021,0.457,514.0,0.943,0.2996108949416342,0.1653696498054474,0.3521400778210117,0.2198443579766537,0.4571984435797665,30.3,0.7727272727272727
187,150162990250047,2019,0.51,496.0,0.978,0.2580645161290322,0.2016129032258064,0.3608870967741935,0.2016129032258064,0.5060483870967742,27.4,0.0
188,150162990250047,2018,0.5329999999999999,426.0,0.998,0.2793427230046948,0.2558685446009389,0.2934272300469484,0.0915492957746478,0.5516431924882629,26.0,0.0
189,150162990250048,2021,0.048,312.0,0.821,0.0416666666666666,0.032051282051282,0.907051282051282,0.1698717948717948,0.8493589743589743,28.1,0.7727272727272727
190,150162990250048,2019,0.092,331.0,0.938,0.0362537764350453,0.0422960725075528,0.8972809667673716,0.1722054380664652,0.8398791540785498,27.2,0.0
191,150162990250048,2018,0.144,347.0,0.994,0.0662824207492795,0.0,0.9020172910662824,0.1268011527377521,0.92507204610951,25.0,0.0
192,150162990250049,2021,0.0139999999999999,73.0,0.82,0.0,0.5205479452054794,0.410958904109589,0.3835616438356164,0.7808219178082192,20.4,0.7727272727272727
193,150162990250049,2019,0.021,89.0,0.908,0.0,0.5393258426966292,0.3707865168539326,0.348314606741573,0.9101123595505618,26.4,0.0
194,150162990250049,2018,0.091,55.0,1.0,0.0,0.4545454545454545,0.4,0.0,0.9090909090909092,21.0,0.0
195,150162990250052,2021,0.033,92.0,0.948,0.0,0.8152173913043478,0.1521739130434782,0.108695652173913,0.8804347826086957,25.5,0.7272727272727272
196,150162990250052,2019,0.113,115.0,0.983,0.0,0.7217391304347827,0.2347826086956521,0.0,0.8869565217391304,25.5,0.0
197,150162990250052,2018,0.16,131.0,1.0,0.0,0.6946564885496184,0.2900763358778626,0.0,0.8854961832061069,23.0,0.0
198,15016299025010C,2021,0.047,43.0,0.6940000000000001,0.0,1.0,0.0,0.0,0.8837209302325582,22.3,0.9090909090909092
199,15016299025010C,2019,0.02,50.0,0.943,0.0,1.0,0.0,0.3,0.88,18.9,0.0
200,15016299025010C,2018,0.138,58.0,1.0,0.0,1.0,0.0,0.2413793103448276,0.8793103448275862,9.0,0.0
201,15016299025012C,2021,0.013,150.0,0.915,0.0,0.0,0.9933333333333332,0.18,0.9266666666666666,25.9,0.9090909090909092
202,15016299025012C,2019,0.051,158.0,0.958,0.0,0.0,0.9683544303797468,0.2025316455696202,0.9556962025316456,23.2,0.0
203,15016299025012C,2018,0.051,175.0,0.972,0.0,0.0,0.9714285714285714,0.2057142857142857,1.0,24.0,0.0
204,15016299025013C,2021,0.023,87.0,0.906,0.0,1.0,0.0,0.3333333333333333,0.8505747126436781,28.1,0.9090909090909092
205,15016299025013C,2019,0.016,62.0,1.0,0.0,0.935483870967742,0.0,0.2741935483870967,0.8225806451612904,21.9,0.0
206,15016299025013C,2018,0.018,56.0,0.982,0.0,0.9642857142857144,0.0,0.2321428571428571,0.8214285714285714,12.0,0.0
